日付,検査員名,シフト,検査数,合格数
2024-01-07,田中,夜勤,84,79
2024-01-07,中村,夜勤,84,78
2024-01-07,鈴木,夜勤,70,67
2024-01-07,山田,夜勤,64,60
2024-01-08,佐藤,日勤,66,62
2024-01-08,渡辺,日勤,72,69
2024-01-08,中村,日勤,93,83
2024-01-08,田中,日勤,62,56
2024-01-08,渡辺,夜勤,95,89
2024-01-08,伊藤,夜勤,93,91
2024-01-08,佐藤,夜勤,79,71
2024-01-08,高橋,夜勤,73,69
2024-01-09,佐藤,日勤,95,87
2024-01-09,高橋,日勤,63,59
2024-01-09,鈴木,日勤,80,72
2024-01-09,渡辺,日勤,67,65
2024-01-09,佐藤,夜勤,74,68
2024-01-09,鈴木,夜勤,97,89
2024-01-09,高橋,夜勤,84,82
2024-01-09,田中,夜勤,61,55
2024-01-10,高橋,日勤,76,74
2024-01-10,田中,日勤,64,61
2024-01-10,伊藤,日勤,64,60
2024-01-10,中村,日勤,92,91
2024-01-10,田中,夜勤,97,92
2024-01-10,鈴木,夜勤,96,87
2024-01-10,山田,夜勤,92,90
2024-01-10,佐藤,夜勤,73,68
2024-01-11,高橋,日勤,91,82
2024-01-11,佐藤,日勤,83,77
2024-01-11,渡辺,日勤,68,61
2024-01-11,鈴木,日勤,67,65
2024-01-11,佐藤,夜勤,77,73
2024-01-11,田中,夜勤,75,73
2024-01-11,山田,夜勤,97,90
2024-01-11,中村,夜勤,90,84
2024-01-12,山田,日勤,74,68
2024-01-12,高橋,日勤,82,76
2024-01-12,鈴木,日勤,62,56
2024-01-12,伊藤,日勤,75,68
2024-01-12,渡辺,夜勤,82,79
2024-01-12,中村,夜勤,81,78
2024-01-12,佐藤,夜勤,70,68
2024-01-12,山田,夜勤,67,64
2024-01-13,伊藤,日勤,64,60
2024-01-13,佐藤,日勤,96,86
2024-01-13,田中,日勤,84,80
2024-01-13,高橋,日勤,61,57
2024-01-13,伊藤,夜勤,79,74
2024-01-13,高橋,夜勤,78,75
2024-01-13,佐藤,夜勤,60,55
2024-01-13,田中,夜勤,95,88
2024-01-14,田中,日勤,77,72
2024-01-14,中村,日勤,90,85
2024-01-14,山田,日勤,69,68
2024-01-14,伊藤,日勤,98,95
2024-01-14,中村,夜勤,74,67
2024-01-14,鈴木,夜勤,75,70
2024-01-14,渡辺,夜勤,92,87
2024-01-14,高橋,夜勤,85,81
2024-01-15,高橋,日勤,65,63
2024-01-15,佐藤,日勤,64,62
2024-01-15,中村,日勤,62,57
2024-01-15,伊藤,日勤,71,69
2024-01-15,中村,夜勤,87,79
2024-01-15,田中,夜勤,85,79
2024-01-15,伊藤,夜勤,86,82
2024-01-15,渡辺,夜勤,65,61
2024-01-16,山田,日勤,82,76
2024-01-16,高橋,日勤,67,60
2024-01-16,伊藤,日勤,80,74
2024-01-16,田中,日勤,97,94
2024-01-16,佐藤,夜勤,94,89
2024-01-16,田中,夜勤,74,69
2024-01-16,伊藤,夜勤,77,69
2024-01-16,鈴木,夜勤,68,67
2024-01-17,渡辺,日勤,81,79
2024-01-17,伊藤,日勤,72,65
2024-01-17,高橋,日勤,72,70
2024-01-17,佐藤,日勤,97,88
2024-01-17,渡辺,夜勤,81,79
2024-01-17,田中,夜勤,94,87
2024-01-17,鈴木,夜勤,82,77
2024-01-17,高橋,夜勤,99,97
2024-01-18,佐藤,日勤,67,60
2024-01-18,渡辺,日勤,98,95
2024-01-18,鈴木,日勤,65,63
2024-01-18,田中,日勤,88,86
2024-01-18,高橋,夜勤,91,86
2024-01-18,伊藤,夜勤,75,73
2024-01-18,山田,夜勤,81,79
2024-01-18,佐藤,夜勤,77,72
2024-01-19,高橋,日勤,67,60
2024-01-19,渡辺,日勤,75,68
2024-01-19,山田,日勤,82,77
2024-01-19,佐藤,日勤,91,89
2024-01-19,田中,夜勤,68,67
2024-01-19,高橋,夜勤,92,87
2024-01-19,中村,夜勤,68,66
2024-01-19,山田,夜勤,94,86
2024-01-20,山田,日勤,65,61
2024-01-20,佐藤,日勤,67,65
2024-01-20,田中,日勤,70,66
2024-01-20,中村,日勤,81,74
2024-01-20,佐藤,夜勤,97,90
2024-01-20,中村,夜勤,64,58
2024-01-20,高橋,夜勤,63,59
2024-01-20,渡辺,夜勤,84,78
2024-01-21,田中,日勤,84,80
2024-01-21,中村,日勤,72,69
2024-01-21,鈴木,日勤,66,60
2024-01-21,伊藤,日勤,77,74
2024-01-21,伊藤,夜勤,64,60
2024-01-21,鈴木,夜勤,81,76
2024-01-21,中村,夜勤,80,75
2024-01-21,高橋,夜勤,71,67
2024-01-22,高橋,日勤,89,81
2024-01-22,中村,日勤,83,79
2024-01-22,渡辺,日勤,84,83
2024-01-22,山田,日勤,62,58
2024-01-22,山田,夜勤,92,88
2024-01-22,伊藤,夜勤,89,83
2024-01-22,佐藤,夜勤,91,87
2024-01-22,鈴木,夜勤,67,64
2024-01-23,中村,日勤,97,90
2024-01-23,鈴木,日勤,98,91
2024-01-23,山田,日勤,85,80
2024-01-23,佐藤,日勤,92,88
2024-01-23,伊藤,夜勤,65,59
2024-01-23,佐藤,夜勤,74,71
2024-01-23,鈴木,夜勤,85,83
2024-01-23,山田,夜勤,89,80
2024-01-24,田中,日勤,75,71
2024-01-24,渡辺,日勤,71,69
2024-01-24,高橋,日勤,89,85
2024-01-24,鈴木,日勤,90,82
2024-01-24,佐藤,夜勤,70,64
2024-01-24,伊藤,夜勤,75,71
2024-01-24,山田,夜勤,65,62
2024-01-24,高橋,夜勤,65,61
2024-01-25,中村,日勤,68,66
2024-01-25,鈴木,日勤,77,70
2024-01-25,田中,日勤,73,66
2024-01-25,伊藤,日勤,74,69
2024-01-25,佐藤,夜勤,72,66
2024-01-25,鈴木,夜勤,74,69
2024-01-25,伊藤,夜勤,65,60
2024-01-25,高橋,夜勤,94,86
2024-01-26,伊藤,日勤,85,83
2024-01-26,鈴木,日勤,85,84
2024-01-26,山田,日勤,78,76
2024-01-26,田中,日勤,84,82
2024-01-26,渡辺,夜勤,60,56
2024-01-26,中村,夜勤,78,73
2024-01-26,佐藤,夜勤,79,75
2024-01-26,山田,夜勤,90,87
2024-01-27,田中,日勤,62,61
2024-01-27,伊藤,日勤,93,91
2024-01-27,高橋,日勤,64,59
2024-01-27,佐藤,日勤,95,88
2024-01-27,鈴木,夜勤,73,69
2024-01-27,山田,夜勤,84,76
2024-01-27,中村,夜勤,71,65
2024-01-27,伊藤,夜勤,89,87
2024-01-28,佐藤,日勤,86,78
2024-01-28,中村,日勤,67,65
2024-01-28,田中,日勤,99,97
2024-01-28,高橋,日勤,70,63
2024-01-28,渡辺,夜勤,71,70
2024-01-28,高橋,夜勤,82,76
2024-01-28,鈴木,夜勤,70,65
2024-01-28,中村,夜勤,87,84
2024-01-29,鈴木,日勤,93,83
2024-01-29,中村,日勤,68,64
2024-01-29,伊藤,日勤,74,66
2024-01-29,山田,日勤,99,90
2024-01-29,山田,夜勤,75,72
2024-01-29,伊藤,夜勤,66,60
2024-01-29,中村,夜勤,74,67
2024-01-29,渡辺,夜勤,82,77
2024-01-30,佐藤,日勤,65,60
2024-01-30,中村,日勤,99,92
2024-01-30,高橋,日勤,69,63
2024-01-30,渡辺,日勤,96,92
2024-01-30,渡辺,夜勤,68,62
2024-01-30,田中,夜勤,76,70
2024-01-30,高橋,夜勤,78,75
2024-01-30,中村,夜勤,68,66
2024-01-31,高橋,日勤,71,69
2024-01-31,鈴木,日勤,65,60
2024-01-31,中村,日勤,97,94
2024-01-31,山田,日勤,68,63
2024-01-31,渡辺,夜勤,91,83
2024-01-31,鈴木,夜勤,75,73
2024-01-31,田中,夜勤,96,93
2024-01-31,高橋,夜勤,62,56
