staff_id,name,store_id,employment_type,hourly_wage,work_date,clock_in,clock_out,break_minutes,work_hours,late_night
R002-S13,スタッフR00213,R002_渋谷店,社員,2170,2024-01-05,09:30,15:42,45,6.2,False
R002-S14,スタッフR00214,R002_渋谷店,アルバイト,1193,2024-01-05,12:00,17:36,0,5.6,False
R002-S15,スタッフR00215,R002_渋谷店,アルバイト,1105,2024-01-05,15:30,23:18,45,7.8,True
R002-S16,スタッフR00216,R002_渋谷店,アルバイト,1172,2024-01-05,16:00,19:54,0,3.9,False
R002-S17,スタッフR00217,R002_渋谷店,アルバイト,1103,2024-01-05,16:00,22:42,45,6.7,True
R002-S18,スタッフR00218,R002_渋谷店,アルバイト,1135,2024-01-05,17:30,22:24,0,4.9,True
R002-S19,スタッフR00219,R002_渋谷店,社員,1955,2024-01-05,09:30,16:18,45,6.8,False
R002-S20,スタッフR00220,R002_渋谷店,パート,1103,2024-01-05,11:00,18:00,45,7.0,False
R002-S01,スタッフR00201,R002_渋谷店,アルバイト,1073,2024-01-06,15:30,19:30,0,4.0,False
R002-S03,スタッフR00203,R002_渋谷店,アルバイト,1098,2024-01-06,17:30,23:30,45,6.0,True
R002-S04,スタッフR00204,R002_渋谷店,アルバイト,1063,2024-01-06,19:00,23:42,0,4.7,True
R002-S05,スタッフR00205,R002_渋谷店,パート,1168,2024-01-06,19:00,02:06,45,7.1,True
R002-S06,スタッフR00206,R002_渋谷店,アルバイト,1146,2024-01-06,14:00,20:24,45,6.4,False
R002-S07,スタッフR00207,R002_渋谷店,パート,1272,2024-01-06,13:30,17:06,0,3.6,False
R002-S08,スタッフR00208,R002_渋谷店,アルバイト,1060,2024-01-06,12:30,17:36,0,5.1,False
R002-S10,スタッフR00210,R002_渋谷店,パート,1148,2024-01-06,12:30,18:42,45,6.2,False
R002-S11,スタッフR00211,R002_渋谷店,社員,2189,2024-01-06,11:00,16:48,0,5.8,False
R002-S12,スタッフR00212,R002_渋谷店,アルバイト,1200,2024-01-06,12:00,16:36,0,4.6,False
R002-S13,スタッフR00213,R002_渋谷店,社員,2170,2024-01-06,09:30,17:18,45,7.8,False
R002-S14,スタッフR00214,R002_渋谷店,アルバイト,1193,2024-01-06,13:30,21:18,45,7.8,False
R002-S15,スタッフR00215,R002_渋谷店,アルバイト,1105,2024-01-06,17:30,23:54,45,6.4,True
R002-S16,スタッフR00216,R002_渋谷店,アルバイト,1172,2024-01-06,17:30,21:18,0,3.8,False
R002-S17,スタッフR00217,R002_渋谷店,アルバイト,1103,2024-01-06,13:30,16:42,0,3.2,False
R002-S18,スタッフR00218,R002_渋谷店,アルバイト,1135,2024-01-06,14:00,20:54,45,6.9,False
R002-S19,スタッフR00219,R002_渋谷店,社員,1955,2024-01-06,10:00,15:54,0,5.9,False
R002-S20,スタッフR00220,R002_渋谷店,パート,1103,2024-01-06,18:30,00:12,0,5.7,True
R002-S01,スタッフR00201,R002_渋谷店,アルバイト,1073,2024-01-07,21:30,03:12,0,5.7,True
R002-S02,スタッフR00202,R002_渋谷店,アルバイト,1187,2024-01-07,11:00,15:30,0,4.5,False
R002-S03,スタッフR00203,R002_渋谷店,アルバイト,1098,2024-01-07,17:30,22:12,0,4.7,True
R002-S04,スタッフR00204,R002_渋谷店,アルバイト,1063,2024-01-07,17:00,23:54,45,6.9,True
R002-S05,スタッフR00205,R002_渋谷店,パート,1168,2024-01-07,21:30,04:48,45,7.3,True
R002-S06,スタッフR00206,R002_渋谷店,アルバイト,1146,2024-01-07,16:00,22:06,45,6.1,True
R002-S07,スタッフR00207,R002_渋谷店,パート,1272,2024-01-07,13:00,18:54,0,5.9,False
R002-S08,スタッフR00208,R002_渋谷店,アルバイト,1060,2024-01-07,19:00,23:36,0,4.6,True
R002-S09,スタッフR00209,R002_渋谷店,パート,1118,2024-01-07,14:30,22:18,45,7.8,True
R002-S10,スタッフR00210,R002_渋谷店,パート,1148,2024-01-07,20:00,23:42,0,3.7,True
R002-S11,スタッフR00211,R002_渋谷店,社員,2189,2024-01-07,10:00,18:00,60,8.0,False
R002-S12,スタッフR00212,R002_渋谷店,アルバイト,1200,2024-01-07,12:00,16:12,0,4.2,False
R002-S13,スタッフR00213,R002_渋谷店,社員,2170,2024-01-07,09:30,14:54,0,5.4,False
R002-S14,スタッフR00214,R002_渋谷店,アルバイト,1193,2024-01-07,14:30,19:24,0,4.9,False
R002-S16,スタッフR00216,R002_渋谷店,アルバイト,1172,2024-01-07,11:30,17:06,0,5.6,False
R002-S17,スタッフR00217,R002_渋谷店,アルバイト,1103,2024-01-07,15:30,23:18,45,7.8,True
R002-S18,スタッフR00218,R002_渋谷店,アルバイト,1135,2024-01-07,10:00,16:42,45,6.7,False
R002-S19,スタッフR00219,R002_渋谷店,社員,1955,2024-01-07,11:30,18:48,45,7.3,False
R002-S20,スタッフR00220,R002_渋谷店,パート,1103,2024-01-07,16:00,23:48,45,7.8,True
R002-S01,スタッフR00201,R002_渋谷店,アルバイト,1073,2024-01-08,17:30,22:06,0,4.6,True
R002-S02,スタッフR00202,R002_渋谷店,アルバイト,1187,2024-01-08,18:00,23:48,0,5.8,True
R002-S03,スタッフR00203,R002_渋谷店,アルバイト,1098,2024-01-08,15:00,18:12,0,3.2,False
R002-S04,スタッフR00204,R002_渋谷店,アルバイト,1063,2024-01-08,17:00,20:36,0,3.6,False
R002-S05,スタッフR00205,R002_渋谷店,パート,1168,2024-01-08,17:30,20:30,0,3.0,False
R002-S06,スタッフR00206,R002_渋谷店,アルバイト,1146,2024-01-08,13:00,20:24,45,7.4,False
R002-S07,スタッフR00207,R002_渋谷店,パート,1272,2024-01-08,14:00,20:18,45,6.3,False
R002-S08,スタッフR00208,R002_渋谷店,アルバイト,1060,2024-01-08,15:00,18:18,0,3.3,False
R002-S09,スタッフR00209,R002_渋谷店,パート,1118,2024-01-08,21:00,02:06,0,5.1,True
R002-S11,スタッフR00211,R002_渋谷店,社員,2189,2024-01-08,09:30,12:54,0,3.4,False
R002-S12,スタッフR00212,R002_渋谷店,アルバイト,1200,2024-01-08,18:30,21:30,0,3.0,False
R002-S13,スタッフR00213,R002_渋谷店,社員,2170,2024-01-08,09:30,16:00,45,6.5,False
R002-S14,スタッフR00214,R002_渋谷店,アルバイト,1193,2024-01-08,13:30,16:54,0,3.4,False
R002-S15,スタッフR00215,R002_渋谷店,アルバイト,1105,2024-01-08,11:30,16:18,0,4.8,False
R002-S16,スタッフR00216,R002_渋谷店,アルバイト,1172,2024-01-08,16:00,22:12,45,6.2,True
R002-S17,スタッフR00217,R002_渋谷店,アルバイト,1103,2024-01-08,11:00,17:06,45,6.1,False
R002-S19,スタッフR00219,R002_渋谷店,社員,1955,2024-01-08,09:00,16:36,45,7.6,False
R002-S20,スタッフR00220,R002_渋谷店,パート,1103,2024-01-08,17:00,20:24,0,3.4,False
R002-S02,スタッフR00202,R002_渋谷店,アルバイト,1187,2024-01-09,19:30,00:18,0,4.8,True
R002-S03,スタッフR00203,R002_渋谷店,アルバイト,1098,2024-01-09,12:00,16:24,0,4.4,False
R002-S05,スタッフR00205,R002_渋谷店,パート,1168,2024-01-09,19:30,02:24,45,6.9,True
R002-S06,スタッフR00206,R002_渋谷店,アルバイト,1146,2024-01-09,20:30,00:30,0,4.0,True
R002-S07,スタッフR00207,R002_渋谷店,パート,1272,2024-01-09,13:30,18:00,0,4.5,False
R002-S09,スタッフR00209,R002_渋谷店,パート,1118,2024-01-09,13:30,18:24,0,4.9,False
R002-S10,スタッフR00210,R002_渋谷店,パート,1148,2024-01-09,20:00,01:36,0,5.6,True
R002-S11,スタッフR00211,R002_渋谷店,社員,2189,2024-01-09,10:30,14:12,0,3.7,False
R002-S12,スタッフR00212,R002_渋谷店,アルバイト,1200,2024-01-09,19:30,00:18,0,4.8,True
R002-S13,スタッフR00213,R002_渋谷店,社員,2170,2024-01-09,10:00,13:06,0,3.1,False
R002-S15,スタッフR00215,R002_渋谷店,アルバイト,1105,2024-01-09,10:00,17:42,45,7.7,False
R002-S16,スタッフR00216,R002_渋谷店,アルバイト,1172,2024-01-09,14:30,19:36,0,5.1,False
R002-S17,スタッフR00217,R002_渋谷店,アルバイト,1103,2024-01-09,20:00,00:24,0,4.4,True
R002-S18,スタッフR00218,R002_渋谷店,アルバイト,1135,2024-01-09,18:00,01:54,45,7.9,True
R002-S19,スタッフR00219,R002_渋谷店,社員,1955,2024-01-09,10:30,16:24,0,5.9,False
R002-S20,スタッフR00220,R002_渋谷店,パート,1103,2024-01-09,20:00,00:36,0,4.6,True
R002-S01,スタッフR00201,R002_渋谷店,アルバイト,1073,2024-01-10,13:00,17:12,0,4.2,False
R002-S02,スタッフR00202,R002_渋谷店,アルバイト,1187,2024-01-10,11:30,17:36,45,6.1,False
R002-S04,スタッフR00204,R002_渋谷店,アルバイト,1063,2024-01-10,20:00,23:36,0,3.6,True
R002-S05,スタッフR00205,R002_渋谷店,パート,1168,2024-01-10,21:00,00:48,0,3.8,True
R002-S06,スタッフR00206,R002_渋谷店,アルバイト,1146,2024-01-10,18:30,22:18,0,3.8,True
R002-S08,スタッフR00208,R002_渋谷店,アルバイト,1060,2024-01-10,14:00,20:54,45,6.9,False
R002-S10,スタッフR00210,R002_渋谷店,パート,1148,2024-01-10,14:00,18:18,0,4.3,False
R002-S11,スタッフR00211,R002_渋谷店,社員,2189,2024-01-10,11:00,16:30,0,5.5,False
R002-S12,スタッフR00212,R002_渋谷店,アルバイト,1200,2024-01-10,10:30,17:48,45,7.3,False
R002-S13,スタッフR00213,R002_渋谷店,社員,2170,2024-01-10,09:30,16:24,45,6.9,False
R002-S14,スタッフR00214,R002_渋谷店,アルバイト,1193,2024-01-10,20:00,00:05,0,4.1,True
R002-S15,スタッフR00215,R002_渋谷店,アルバイト,1105,2024-01-10,10:00,14:12,0,4.2,False
R002-S16,スタッフR00216,R002_渋谷店,アルバイト,1172,2024-01-10,16:00,19:54,0,3.9,False
R002-S17,スタッフR00217,R002_渋谷店,アルバイト,1103,2024-01-10,10:30,14:35,0,4.1,False
R002-S18,スタッフR00218,R002_渋谷店,アルバイト,1135,2024-01-10,21:30,01:54,0,4.4,True
R002-S19,スタッフR00219,R002_渋谷店,社員,1955,2024-01-10,10:00,15:30,0,5.5,False
R002-S20,スタッフR00220,R002_渋谷店,パート,1103,2024-01-10,12:00,19:00,45,7.0,False
R002-S01,スタッフR00201,R002_渋谷店,アルバイト,1073,2024-01-11,16:00,23:24,45,7.4,True
R002-S02,スタッフR00202,R002_渋谷店,アルバイト,1187,2024-01-11,14:30,17:54,0,3.4,False
R002-S03,スタッフR00203,R002_渋谷店,アルバイト,1098,2024-01-11,15:00,19:30,0,4.5,False
R002-S04,スタッフR00204,R002_渋谷店,アルバイト,1063,2024-01-11,21:00,02:18,0,5.3,True
R002-S05,スタッフR00205,R002_渋谷店,パート,1168,2024-01-11,17:00,23:42,45,6.7,True
R002-S06,スタッフR00206,R002_渋谷店,アルバイト,1146,2024-01-11,13:00,16:00,0,3.0,False
R002-S07,スタッフR00207,R002_渋谷店,パート,1272,2024-01-11,13:30,19:42,45,6.2,False
R002-S08,スタッフR00208,R002_渋谷店,アルバイト,1060,2024-01-11,10:30,13:30,0,3.0,False
R002-S09,スタッフR00209,R002_渋谷店,パート,1118,2024-01-11,21:30,01:00,0,3.5,True
R002-S10,スタッフR00210,R002_渋谷店,パート,1148,2024-01-11,13:30,19:00,0,5.5,False
R002-S11,スタッフR00211,R002_渋谷店,社員,2189,2024-01-11,09:30,13:00,0,3.5,False
R002-S12,スタッフR00212,R002_渋谷店,アルバイト,1200,2024-01-11,18:30,01:00,45,6.5,True
R002-S13,スタッフR00213,R002_渋谷店,社員,2170,2024-01-11,11:00,16:54,0,5.9,False
R002-S14,スタッフR00214,R002_渋谷店,アルバイト,1193,2024-01-11,20:30,23:54,0,3.4,True
R002-S15,スタッフR00215,R002_渋谷店,アルバイト,1105,2024-01-11,16:00,20:12,0,4.2,False
R002-S16,スタッフR00216,R002_渋谷店,アルバイト,1172,2024-01-11,15:30,22:00,45,6.5,True
R002-S17,スタッフR00217,R002_渋谷店,アルバイト,1103,2024-01-11,15:30,19:54,0,4.4,False
R002-S19,スタッフR00219,R002_渋谷店,社員,1955,2024-01-11,11:00,14:48,0,3.8,False
R002-S20,スタッフR00220,R002_渋谷店,パート,1103,2024-01-11,17:30,22:30,0,5.0,True
R002-S01,スタッフR00201,R002_渋谷店,アルバイト,1073,2024-01-12,13:30,18:00,0,4.5,False
R002-S02,スタッフR00202,R002_渋谷店,アルバイト,1187,2024-01-12,11:00,14:48,0,3.8,False
R002-S03,スタッフR00203,R002_渋谷店,アルバイト,1098,2024-01-12,21:00,01:05,0,4.1,True
R002-S04,スタッフR00204,R002_渋谷店,アルバイト,1063,2024-01-12,12:00,18:36,45,6.6,False
R002-S05,スタッフR00205,R002_渋谷店,パート,1168,2024-01-12,16:00,22:24,45,6.4,True
R002-S06,スタッフR00206,R002_渋谷店,アルバイト,1146,2024-01-12,12:00,19:48,45,7.8,False
R002-S07,スタッフR00207,R002_渋谷店,パート,1272,2024-01-12,18:00,21:30,0,3.5,False
R002-S09,スタッフR00209,R002_渋谷店,パート,1118,2024-01-12,11:00,14:18,0,3.3,False
R002-S10,スタッフR00210,R002_渋谷店,パート,1148,2024-01-12,13:00,17:00,0,4.0,False
R002-S11,スタッフR00211,R002_渋谷店,社員,2189,2024-01-12,11:00,16:54,0,5.9,False
R002-S12,スタッフR00212,R002_渋谷店,アルバイト,1200,2024-01-12,11:00,19:00,60,8.0,False
R002-S13,スタッフR00213,R002_渋谷店,社員,2170,2024-01-12,11:30,18:30,45,7.0,False
R002-S15,スタッフR00215,R002_渋谷店,アルバイト,1105,2024-01-12,15:00,18:12,0,3.2,False
R002-S16,スタッフR00216,R002_渋谷店,アルバイト,1172,2024-01-12,12:30,19:36,45,7.1,False
R002-S17,スタッフR00217,R002_渋谷店,アルバイト,1103,2024-01-12,10:30,16:54,45,6.4,False
R002-S19,スタッフR00219,R002_渋谷店,社員,1955,2024-01-12,09:30,13:54,0,4.4,False
R002-S20,スタッフR00220,R002_渋谷店,パート,1103,2024-01-12,10:00,16:12,45,6.2,False
R002-S01,スタッフR00201,R002_渋谷店,アルバイト,1073,2024-01-13,18:30,21:48,0,3.3,False
R002-S02,スタッフR00202,R002_渋谷店,アルバイト,1187,2024-01-13,12:30,16:30,0,4.0,False
R002-S03,スタッフR00203,R002_渋谷店,アルバイト,1098,2024-01-13,18:00,00:12,45,6.2,True
R002-S04,スタッフR00204,R002_渋谷店,アルバイト,1063,2024-01-13,10:30,17:24,45,6.9,False
R002-S05,スタッフR00205,R002_渋谷店,パート,1168,2024-01-13,18:30,23:12,0,4.7,True
R002-S06,スタッフR00206,R002_渋谷店,アルバイト,1146,2024-01-13,15:30,19:54,0,4.4,False
R002-S08,スタッフR00208,R002_渋谷店,アルバイト,1060,2024-01-13,10:30,13:48,0,3.3,False
R002-S09,スタッフR00209,R002_渋谷店,パート,1118,2024-01-13,18:30,01:18,45,6.8,True
R002-S10,スタッフR00210,R002_渋谷店,パート,1148,2024-01-13,12:00,16:12,0,4.2,False
R002-S11,スタッフR00211,R002_渋谷店,社員,2189,2024-01-13,11:00,17:48,45,6.8,False
R002-S12,スタッフR00212,R002_渋谷店,アルバイト,1200,2024-01-13,19:30,00:18,0,4.8,True
R002-S13,スタッフR00213,R002_渋谷店,社員,2170,2024-01-13,09:00,13:12,0,4.2,False
R002-S14,スタッフR00214,R002_渋谷店,アルバイト,1193,2024-01-13,21:30,05:06,45,7.6,True
R002-S16,スタッフR00216,R002_渋谷店,アルバイト,1172,2024-01-13,19:00,00:48,0,5.8,True
R002-S18,スタッフR00218,R002_渋谷店,アルバイト,1135,2024-01-13,17:30,21:24,0,3.9,False
R002-S01,スタッフR00201,R002_渋谷店,アルバイト,1073,2024-01-14,10:30,13:30,0,3.0,False
R002-S02,スタッフR00202,R002_渋谷店,アルバイト,1187,2024-01-14,13:00,17:42,0,4.7,False
R002-S04,スタッフR00204,R002_渋谷店,アルバイト,1063,2024-01-14,15:00,18:06,0,3.1,False
R002-S05,スタッフR00205,R002_渋谷店,パート,1168,2024-01-14,12:00,19:12,45,7.2,False
R002-S06,スタッフR00206,R002_渋谷店,アルバイト,1146,2024-01-14,11:30,18:00,45,6.5,False
R002-S07,スタッフR00207,R002_渋谷店,パート,1272,2024-01-14,19:00,23:42,0,4.7,True
R002-S08,スタッフR00208,R002_渋谷店,アルバイト,1060,2024-01-14,12:30,19:30,45,7.0,False
R002-S09,スタッフR00209,R002_渋谷店,パート,1118,2024-01-14,20:30,00:24,0,3.9,True
R002-S10,スタッフR00210,R002_渋谷店,パート,1148,2024-01-14,21:30,01:35,0,4.1,True
R002-S11,スタッフR00211,R002_渋谷店,社員,2189,2024-01-14,09:30,14:00,0,4.5,False
R002-S12,スタッフR00212,R002_渋谷店,アルバイト,1200,2024-01-14,12:00,18:36,45,6.6,False
R002-S13,スタッフR00213,R002_渋谷店,社員,2170,2024-01-14,11:30,18:48,45,7.3,False
R002-S14,スタッフR00214,R002_渋谷店,アルバイト,1193,2024-01-14,19:00,22:54,0,3.9,True
R002-S15,スタッフR00215,R002_渋谷店,アルバイト,1105,2024-01-14,19:00,01:12,45,6.2,True
R002-S17,スタッフR00217,R002_渋谷店,アルバイト,1103,2024-01-14,15:00,19:12,0,4.2,False
R002-S18,スタッフR00218,R002_渋谷店,アルバイト,1135,2024-01-14,12:00,19:06,45,7.1,False
R002-S19,スタッフR00219,R002_渋谷店,社員,1955,2024-01-14,11:30,16:42,0,5.2,False
R002-S20,スタッフR00220,R002_渋谷店,パート,1103,2024-01-14,13:00,17:48,0,4.8,False
R002-S01,スタッフR00201,R002_渋谷店,アルバイト,1073,2024-01-15,21:00,00:12,0,3.2,True
R002-S02,スタッフR00202,R002_渋谷店,アルバイト,1187,2024-01-15,16:00,23:24,45,7.4,True
R002-S03,スタッフR00203,R002_渋谷店,アルバイト,1098,2024-01-15,16:30,22:12,0,5.7,True
R002-S05,スタッフR00205,R002_渋谷店,パート,1168,2024-01-15,19:00,22:48,0,3.8,True
R002-S07,スタッフR00207,R002_渋谷店,パート,1272,2024-01-15,14:00,18:36,0,4.6,False
R002-S08,スタッフR00208,R002_渋谷店,アルバイト,1060,2024-01-15,11:30,15:24,0,3.9,False
R002-S09,スタッフR00209,R002_渋谷店,パート,1118,2024-01-15,21:00,02:42,0,5.7,True
R002-S10,スタッフR00210,R002_渋谷店,パート,1148,2024-01-15,11:30,17:30,45,6.0,False
R002-S11,スタッフR00211,R002_渋谷店,社員,2189,2024-01-15,10:00,15:12,0,5.2,False
R002-S12,スタッフR00212,R002_渋谷店,アルバイト,1200,2024-01-15,19:30,23:18,0,3.8,True
R002-S13,スタッフR00213,R002_渋谷店,社員,2170,2024-01-15,09:00,14:00,0,5.0,False
R002-S14,スタッフR00214,R002_渋谷店,アルバイト,1193,2024-01-15,21:30,03:48,45,6.3,True
R002-S15,スタッフR00215,R002_渋谷店,アルバイト,1105,2024-01-15,11:00,16:00,0,5.0,False
R002-S16,スタッフR00216,R002_渋谷店,アルバイト,1172,2024-01-15,17:00,20:18,0,3.3,False
