社員番号,講師名,担当分野,雇用形態,開催日,研修名,担当コマ,参加人数,開催場所,単価
INS-013,松本正樹,コンプライアンス,正社員,2024年01月03日,個人情報保護法,1,23,東京本社A会議室,2736
INS-013,松本正樹,コンプライアンス,正社員,2024年01月03日,内部統制基礎,1,21,東京本社A会議室,2736
INS-015,木村隆二,コンプライアンス,外部講師,2024年01月03日,ハラスメント防止,1,23,名古屋オフィス,7153
INS-015,木村隆二,コンプライアンス,外部講師,2024年01月03日,コンプライアンス概論,1,13,東京本社A会議室,7153
INS-008,中村真理,IT・デジタル,正社員,2024年01月03日,クラウド活用研修,1,13,オンライン(Zoom),2698
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月03日,Pythonプログラミング入門,1,15,東京本社A会議室,3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月04日,Pythonプログラミング入門,1,17,オンライン(Teams),3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月04日,データ分析基礎,1,22,大阪支社会議室,3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月04日,セキュリティ基礎,1,17,オンライン(Teams),3840
INS-005,伊藤四郎,マネジメント,外部講師,2024年01月04日,チームビルディング,1,7,オンライン(Zoom),6299
INS-005,伊藤四郎,マネジメント,外部講師,2024年01月04日,チームビルディング,1,28,大阪支社会議室,6299
INS-013,松本正樹,コンプライアンス,正社員,2024年01月04日,個人情報保護法,1,12,東京本社A会議室,2736
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月04日,情報セキュリティ研修,1,29,大阪支社会議室,2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月04日,情報セキュリティ研修,1,5,オンライン(Teams),2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月04日,内部統制基礎,1,13,名古屋オフィス,2655
INS-008,中村真理,IT・デジタル,正社員,2024年01月05日,Pythonプログラミング入門,1,7,大阪支社会議室,2698
INS-008,中村真理,IT・デジタル,正社員,2024年01月05日,クラウド活用研修,1,9,名古屋オフィス,2698
INS-008,中村真理,IT・デジタル,正社員,2024年01月05日,クラウド活用研修,1,27,オンライン(Teams),2698
INS-008,中村真理,IT・デジタル,正社員,2024年01月05日,クラウド活用研修,1,9,オンライン(Teams),2698
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月05日,ハラスメント防止,1,16,大阪支社会議室,7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月05日,個人情報保護法,1,8,新宿研修センター,7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月05日,個人情報保護法,1,7,新宿研修センター,7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月05日,ハラスメント防止,1,18,名古屋オフィス,7927
INS-018,山口遥,語学,外部講師,2024年01月05日,ビジネス英語,1,30,大阪支社会議室,5384
INS-018,山口遥,語学,外部講師,2024年01月05日,ビジネス英語,1,17,東京本社A会議室,5384
INS-018,山口遥,語学,外部講師,2024年01月05日,英語プレゼン,1,14,名古屋オフィス,5384
INS-018,山口遥,語学,外部講師,2024年01月05日,英語プレゼン,1,17,東京本社A会議室,5384
INS-013,松本正樹,コンプライアンス,正社員,2024年01月05日,内部統制基礎,1,17,新宿研修センター,2736
INS-013,松本正樹,コンプライアンス,正社員,2024年01月05日,個人情報保護法,1,9,大阪支社会議室,2736
INS-014,井上彩,語学,正社員,2024年01月05日,TOEIC対策,1,13,名古屋オフィス,2761
INS-014,井上彩,語学,正社員,2024年01月05日,ビジネス英語,1,14,名古屋オフィス,2761
INS-014,井上彩,語学,正社員,2024年01月05日,ビジネス英語,1,30,東京本社A会議室,2761
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月05日,ハラスメント防止,1,24,オンライン(Zoom),2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月05日,ハラスメント防止,1,11,名古屋オフィス,2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月05日,情報セキュリティ研修,1,8,新宿研修センター,2655
INS-001,田中一郎,マネジメント,外部講師,2024年01月08日,目標管理(MBO),1,9,大阪支社会議室,5267
INS-001,田中一郎,マネジメント,外部講師,2024年01月08日,コーチング入門,1,15,オンライン(Zoom),5267
INS-001,田中一郎,マネジメント,外部講師,2024年01月08日,コーチング入門,1,27,新宿研修センター,5267
INS-001,田中一郎,マネジメント,外部講師,2024年01月08日,コーチング入門,1,20,大阪支社会議室,5267
INS-013,松本正樹,コンプライアンス,正社員,2024年01月08日,コンプライアンス概論,1,14,オンライン(Teams),2736
INS-013,松本正樹,コンプライアンス,正社員,2024年01月08日,コンプライアンス概論,1,27,オンライン(Teams),2736
INS-011,吉田拓也,IT・デジタル,正社員,2024年01月08日,セキュリティ基礎,1,30,名古屋オフィス,2527
INS-011,吉田拓也,IT・デジタル,正社員,2024年01月08日,クラウド活用研修,1,16,東京本社A会議室,2527
INS-011,吉田拓也,IT・デジタル,正社員,2024年01月08日,データ分析基礎,1,23,新宿研修センター,2527
INS-011,吉田拓也,IT・デジタル,正社員,2024年01月08日,データ分析基礎,1,23,オンライン(Zoom),2527
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月08日,クラウド活用研修,1,28,名古屋オフィス,3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月08日,DX推進セミナー,1,27,新宿研修センター,3840
INS-018,山口遥,語学,外部講師,2024年01月08日,グローバルコミュニケーション,1,30,名古屋オフィス,5384
INS-018,山口遥,語学,外部講師,2024年01月08日,英文ビジネスライティング,1,26,名古屋オフィス,5384
INS-018,山口遥,語学,外部講師,2024年01月08日,ビジネス英語,1,9,オンライン(Teams),5384
INS-018,山口遥,語学,外部講師,2024年01月08日,英文ビジネスライティング,1,14,新宿研修センター,5384
INS-005,伊藤四郎,マネジメント,外部講師,2024年01月09日,1on1面談スキル,1,18,オンライン(Zoom),6299
INS-005,伊藤四郎,マネジメント,外部講師,2024年01月09日,1on1面談スキル,1,6,大阪支社会議室,6299
INS-005,伊藤四郎,マネジメント,外部講師,2024年01月09日,コーチング入門,1,27,オンライン(Zoom),6299
INS-005,伊藤四郎,マネジメント,外部講師,2024年01月09日,コーチング入門,1,24,オンライン(Teams),6299
INS-014,井上彩,語学,正社員,2024年01月09日,ビジネス英語,1,12,オンライン(Teams),2761
INS-013,松本正樹,コンプライアンス,正社員,2024年01月09日,個人情報保護法,1,25,オンライン(Teams),2736
INS-013,松本正樹,コンプライアンス,正社員,2024年01月09日,情報セキュリティ研修,1,25,名古屋オフィス,2736
INS-013,松本正樹,コンプライアンス,正社員,2024年01月09日,内部統制基礎,1,29,大阪支社会議室,2736
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月09日,個人情報保護法,1,22,オンライン(Zoom),2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月09日,個人情報保護法,1,27,オンライン(Zoom),2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月09日,ハラスメント防止,1,12,名古屋オフィス,2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月09日,情報セキュリティ研修,1,16,名古屋オフィス,2655
INS-015,木村隆二,コンプライアンス,外部講師,2024年01月09日,情報セキュリティ研修,1,5,名古屋オフィス,7153
INS-015,木村隆二,コンプライアンス,外部講師,2024年01月09日,内部統制基礎,1,8,大阪支社会議室,7153
INS-015,木村隆二,コンプライアンス,外部講師,2024年01月09日,内部統制基礎,1,18,東京本社A会議室,7153
INS-015,木村隆二,コンプライアンス,外部講師,2024年01月09日,ハラスメント防止,1,8,オンライン(Teams),7153
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月10日,内部統制基礎,1,8,名古屋オフィス,7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月10日,ハラスメント防止,1,28,オンライン(Teams),7927
INS-010,加藤由美,営業スキル,正社員,2024年01月10日,ネゴシエーション,1,15,オンライン(Teams),2094
INS-010,加藤由美,営業スキル,正社員,2024年01月10日,ネゴシエーション,1,8,オンライン(Teams),2094
INS-010,加藤由美,営業スキル,正社員,2024年01月10日,営業データ分析,1,30,新宿研修センター,2094
INS-010,加藤由美,営業スキル,正社員,2024年01月10日,提案型営業,1,28,新宿研修センター,2094
INS-011,吉田拓也,IT・デジタル,正社員,2024年01月10日,DX推進セミナー,1,18,名古屋オフィス,2527
INS-011,吉田拓也,IT・デジタル,正社員,2024年01月10日,データ分析基礎,1,12,名古屋オフィス,2527
INS-015,木村隆二,コンプライアンス,外部講師,2024年01月10日,個人情報保護法,1,17,東京本社A会議室,7153
INS-015,木村隆二,コンプライアンス,外部講師,2024年01月10日,情報セキュリティ研修,1,28,オンライン(Zoom),7153
INS-015,木村隆二,コンプライアンス,外部講師,2024年01月11日,情報セキュリティ研修,1,11,大阪支社会議室,7153
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月11日,DX推進セミナー,1,30,オンライン(Zoom),3840
INS-014,井上彩,語学,正社員,2024年01月11日,TOEIC対策,1,8,大阪支社会議室,2761
INS-014,井上彩,語学,正社員,2024年01月11日,ビジネス英語,1,26,名古屋オフィス,2761
INS-013,松本正樹,コンプライアンス,正社員,2024年01月11日,内部統制基礎,1,16,大阪支社会議室,2736
INS-013,松本正樹,コンプライアンス,正社員,2024年01月11日,情報セキュリティ研修,1,19,オンライン(Zoom),2736
INS-013,松本正樹,コンプライアンス,正社員,2024年01月11日,内部統制基礎,1,10,オンライン(Teams),2736
INS-010,加藤由美,営業スキル,正社員,2024年01月12日,提案型営業,1,27,新宿研修センター,2094
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月12日,DX推進セミナー,1,25,オンライン(Zoom),3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月12日,Pythonプログラミング入門,1,27,オンライン(Teams),3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月12日,データ分析基礎,1,10,オンライン(Zoom),3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月12日,Pythonプログラミング入門,1,10,名古屋オフィス,3840
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月12日,個人情報保護法,1,6,大阪支社会議室,2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月12日,ハラスメント防止,1,5,名古屋オフィス,2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月12日,内部統制基礎,1,9,新宿研修センター,2655
INS-005,伊藤四郎,マネジメント,外部講師,2024年01月12日,コーチング入門,1,18,オンライン(Teams),6299
INS-005,伊藤四郎,マネジメント,外部講師,2024年01月12日,1on1面談スキル,1,19,名古屋オフィス,6299
INS-005,伊藤四郎,マネジメント,外部講師,2024年01月12日,1on1面談スキル,1,10,東京本社A会議室,6299
INS-005,伊藤四郎,マネジメント,外部講師,2024年01月12日,チームビルディング,1,23,東京本社A会議室,6299
INS-011,吉田拓也,IT・デジタル,正社員,2024年01月12日,データ分析基礎,1,22,大阪支社会議室,2527
INS-011,吉田拓也,IT・デジタル,正社員,2024年01月12日,データ分析基礎,1,10,名古屋オフィス,2527
INS-002,佐藤花子,営業スキル,正社員,2024年01月12日,プレゼンスキル,1,16,オンライン(Zoom),2774
INS-002,佐藤花子,営業スキル,正社員,2024年01月12日,提案型営業,1,29,東京本社A会議室,2774
INS-002,佐藤花子,営業スキル,正社員,2024年01月12日,提案型営業,1,29,オンライン(Teams),2774
INS-002,佐藤花子,営業スキル,正社員,2024年01月12日,顧客対応基礎,1,19,オンライン(Zoom),2774
INS-004,高橋三郎,コンプライアンス,正社員,2024年01月12日,コンプライアンス概論,1,25,新宿研修センター,2439
INS-004,高橋三郎,コンプライアンス,正社員,2024年01月12日,個人情報保護法,1,14,東京本社A会議室,2439
INS-017,清水大輔,営業スキル,正社員,2024年01月12日,ネゴシエーション,1,8,新宿研修センター,2513
INS-017,清水大輔,営業スキル,正社員,2024年01月12日,営業データ分析,1,11,オンライン(Teams),2513
INS-017,清水大輔,営業スキル,正社員,2024年01月12日,提案型営業,1,23,オンライン(Teams),2513
INS-017,清水大輔,営業スキル,正社員,2024年01月12日,営業データ分析,1,16,オンライン(Teams),2513
INS-014,井上彩,語学,正社員,2024年01月15日,英語プレゼン,1,27,大阪支社会議室,2761
INS-014,井上彩,語学,正社員,2024年01月15日,英語プレゼン,1,14,オンライン(Zoom),2761
INS-014,井上彩,語学,正社員,2024年01月15日,ビジネス英語,1,13,オンライン(Zoom),2761
INS-006,渡辺美咲,マネジメント,外部講師,2024年01月15日,リーダーシップ研修,1,29,名古屋オフィス,7576
INS-005,伊藤四郎,マネジメント,外部講師,2024年01月15日,コーチング入門,1,25,新宿研修センター,6299
INS-007,山本健太,コンプライアンス,契約社員,2024年01月15日,ハラスメント防止,1,12,オンライン(Teams),3086
INS-007,山本健太,コンプライアンス,契約社員,2024年01月15日,情報セキュリティ研修,1,17,名古屋オフィス,3086
INS-017,清水大輔,営業スキル,正社員,2024年01月15日,プレゼンスキル,1,18,名古屋オフィス,2513
INS-017,清水大輔,営業スキル,正社員,2024年01月15日,ネゴシエーション,1,19,東京本社A会議室,2513
INS-013,松本正樹,コンプライアンス,正社員,2024年01月15日,内部統制基礎,1,28,大阪支社会議室,2736
INS-001,田中一郎,マネジメント,外部講師,2024年01月15日,1on1面談スキル,1,29,オンライン(Teams),5267
INS-001,田中一郎,マネジメント,外部講師,2024年01月15日,1on1面談スキル,1,7,オンライン(Teams),5267
INS-001,田中一郎,マネジメント,外部講師,2024年01月15日,1on1面談スキル,1,19,オンライン(Teams),5267
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月16日,ハラスメント防止,1,23,名古屋オフィス,7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月16日,コンプライアンス概論,1,30,大阪支社会議室,7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月16日,ハラスメント防止,1,26,東京本社A会議室,7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月16日,内部統制基礎,1,6,東京本社A会議室,7927
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月16日,個人情報保護法,1,18,新宿研修センター,2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月16日,コンプライアンス概論,1,27,新宿研修センター,2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月16日,個人情報保護法,1,25,大阪支社会議室,2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月16日,内部統制基礎,1,10,大阪支社会議室,2655
INS-018,山口遥,語学,外部講師,2024年01月16日,グローバルコミュニケーション,1,13,東京本社A会議室,5384
INS-013,松本正樹,コンプライアンス,正社員,2024年01月16日,情報セキュリティ研修,1,25,大阪支社会議室,2736
INS-013,松本正樹,コンプライアンス,正社員,2024年01月16日,情報セキュリティ研修,1,28,オンライン(Teams),2736
INS-013,松本正樹,コンプライアンス,正社員,2024年01月16日,個人情報保護法,1,29,新宿研修センター,2736
INS-007,山本健太,コンプライアンス,契約社員,2024年01月16日,情報セキュリティ研修,1,9,オンライン(Zoom),3086
INS-007,山本健太,コンプライアンス,契約社員,2024年01月16日,情報セキュリティ研修,1,12,オンライン(Zoom),3086
INS-007,山本健太,コンプライアンス,契約社員,2024年01月16日,個人情報保護法,1,26,名古屋オフィス,3086
INS-007,山本健太,コンプライアンス,契約社員,2024年01月16日,内部統制基礎,1,5,東京本社A会議室,3086
INS-016,林奈央,IT・デジタル,外部講師,2024年01月16日,セキュリティ基礎,1,9,名古屋オフィス,7358
INS-016,林奈央,IT・デジタル,外部講師,2024年01月16日,セキュリティ基礎,1,7,新宿研修センター,7358
INS-016,林奈央,IT・デジタル,外部講師,2024年01月16日,DX推進セミナー,1,17,東京本社A会議室,7358
INS-014,井上彩,語学,正社員,2024年01月16日,ビジネス英語,1,16,大阪支社会議室,2761
INS-004,高橋三郎,コンプライアンス,正社員,2024年01月16日,ハラスメント防止,1,9,オンライン(Teams),2439
INS-004,高橋三郎,コンプライアンス,正社員,2024年01月16日,コンプライアンス概論,1,26,新宿研修センター,2439
INS-017,清水大輔,営業スキル,正社員,2024年01月17日,プレゼンスキル,1,25,オンライン(Teams),2513
INS-017,清水大輔,営業スキル,正社員,2024年01月17日,顧客対応基礎,1,9,名古屋オフィス,2513
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月17日,セキュリティ基礎,1,23,オンライン(Teams),3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月17日,Pythonプログラミング入門,1,17,大阪支社会議室,3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月17日,Pythonプログラミング入門,1,18,大阪支社会議室,3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月17日,クラウド活用研修,1,30,新宿研修センター,3840
INS-001,田中一郎,マネジメント,外部講師,2024年01月17日,目標管理(MBO),1,22,オンライン(Zoom),5267
INS-001,田中一郎,マネジメント,外部講師,2024年01月17日,リーダーシップ研修,1,24,オンライン(Teams),5267
INS-010,加藤由美,営業スキル,正社員,2024年01月18日,顧客対応基礎,1,12,名古屋オフィス,2094
INS-010,加藤由美,営業スキル,正社員,2024年01月18日,顧客対応基礎,1,17,東京本社A会議室,2094
INS-010,加藤由美,営業スキル,正社員,2024年01月18日,顧客対応基礎,1,12,名古屋オフィス,2094
INS-001,田中一郎,マネジメント,外部講師,2024年01月18日,1on1面談スキル,1,5,大阪支社会議室,5267
INS-020,池田美穂,営業スキル,正社員,2024年01月18日,提案型営業,1,16,オンライン(Zoom),2450
INS-020,池田美穂,営業スキル,正社員,2024年01月18日,営業データ分析,1,26,新宿研修センター,2450
INS-020,池田美穂,営業スキル,正社員,2024年01月18日,プレゼンスキル,1,29,名古屋オフィス,2450
INS-007,山本健太,コンプライアンス,契約社員,2024年01月18日,個人情報保護法,1,7,東京本社A会議室,3086
INS-017,清水大輔,営業スキル,正社員,2024年01月18日,ネゴシエーション,1,17,オンライン(Zoom),2513
INS-017,清水大輔,営業スキル,正社員,2024年01月18日,営業データ分析,1,14,オンライン(Teams),2513
INS-017,清水大輔,営業スキル,正社員,2024年01月18日,営業データ分析,1,27,オンライン(Zoom),2513
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月18日,内部統制基礎,1,9,大阪支社会議室,7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月18日,内部統制基礎,1,7,大阪支社会議室,7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月18日,情報セキュリティ研修,1,7,オンライン(Zoom),7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月18日,内部統制基礎,1,11,新宿研修センター,7927
INS-016,林奈央,IT・デジタル,外部講師,2024年01月18日,データ分析基礎,1,26,オンライン(Teams),7358
INS-016,林奈央,IT・デジタル,外部講師,2024年01月18日,クラウド活用研修,1,7,大阪支社会議室,7358
INS-016,林奈央,IT・デジタル,外部講師,2024年01月18日,セキュリティ基礎,1,27,名古屋オフィス,7358
INS-008,中村真理,IT・デジタル,正社員,2024年01月19日,データ分析基礎,1,28,オンライン(Teams),2698
INS-002,佐藤花子,営業スキル,正社員,2024年01月19日,提案型営業,1,27,東京本社A会議室,2774
INS-002,佐藤花子,営業スキル,正社員,2024年01月19日,顧客対応基礎,1,10,名古屋オフィス,2774
INS-020,池田美穂,営業スキル,正社員,2024年01月19日,プレゼンスキル,1,10,大阪支社会議室,2450
INS-020,池田美穂,営業スキル,正社員,2024年01月19日,顧客対応基礎,1,9,オンライン(Teams),2450
INS-020,池田美穂,営業スキル,正社員,2024年01月19日,顧客対応基礎,1,29,大阪支社会議室,2450
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月19日,情報セキュリティ研修,1,5,大阪支社会議室,2655
INS-014,井上彩,語学,正社員,2024年01月19日,TOEIC対策,1,7,名古屋オフィス,2761
INS-014,井上彩,語学,正社員,2024年01月19日,ビジネス英語,1,19,オンライン(Zoom),2761
INS-014,井上彩,語学,正社員,2024年01月19日,グローバルコミュニケーション,1,16,東京本社A会議室,2761
INS-014,井上彩,語学,正社員,2024年01月19日,英語プレゼン,1,20,オンライン(Zoom),2761
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月19日,データ分析基礎,1,8,オンライン(Zoom),3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月19日,データ分析基礎,1,26,オンライン(Teams),3840
INS-018,山口遥,語学,外部講師,2024年01月19日,TOEIC対策,1,21,東京本社A会議室,5384
INS-010,加藤由美,営業スキル,正社員,2024年01月19日,営業データ分析,1,5,新宿研修センター,2094
INS-016,林奈央,IT・デジタル,外部講師,2024年01月22日,Pythonプログラミング入門,1,6,オンライン(Zoom),7358
INS-016,林奈央,IT・デジタル,外部講師,2024年01月22日,セキュリティ基礎,1,30,オンライン(Teams),7358
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月22日,ハラスメント防止,1,7,オンライン(Zoom),7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月22日,ハラスメント防止,1,16,東京本社A会議室,7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月22日,コンプライアンス概論,1,21,オンライン(Teams),7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月22日,ハラスメント防止,1,6,新宿研修センター,7927
INS-013,松本正樹,コンプライアンス,正社員,2024年01月22日,コンプライアンス概論,1,17,東京本社A会議室,2736
INS-013,松本正樹,コンプライアンス,正社員,2024年01月22日,コンプライアンス概論,1,19,大阪支社会議室,2736
INS-011,吉田拓也,IT・デジタル,正社員,2024年01月23日,データ分析基礎,1,24,新宿研修センター,2527
INS-011,吉田拓也,IT・デジタル,正社員,2024年01月23日,DX推進セミナー,1,19,大阪支社会議室,2527
INS-011,吉田拓也,IT・デジタル,正社員,2024年01月23日,データ分析基礎,1,23,名古屋オフィス,2527
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月23日,情報セキュリティ研修,1,30,新宿研修センター,2655
INS-003,鈴木次郎,コンプライアンス,正社員,2024年01月23日,内部統制基礎,1,9,東京本社A会議室,2655
INS-018,山口遥,語学,外部講師,2024年01月23日,ビジネス英語,1,5,大阪支社会議室,5384
INS-018,山口遥,語学,外部講師,2024年01月23日,英語プレゼン,1,5,オンライン(Teams),5384
INS-018,山口遥,語学,外部講師,2024年01月23日,グローバルコミュニケーション,1,17,オンライン(Teams),5384
INS-018,山口遥,語学,外部講師,2024年01月23日,グローバルコミュニケーション,1,28,大阪支社会議室,5384
INS-015,木村隆二,コンプライアンス,外部講師,2024年01月23日,ハラスメント防止,1,12,名古屋オフィス,7153
INS-001,田中一郎,マネジメント,外部講師,2024年01月23日,コーチング入門,1,6,新宿研修センター,5267
INS-001,田中一郎,マネジメント,外部講師,2024年01月23日,コーチング入門,1,21,名古屋オフィス,5267
INS-001,田中一郎,マネジメント,外部講師,2024年01月23日,リーダーシップ研修,1,27,大阪支社会議室,5267
INS-001,田中一郎,マネジメント,外部講師,2024年01月23日,目標管理(MBO),1,19,オンライン(Teams),5267
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月24日,クラウド活用研修,1,23,オンライン(Zoom),3840
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月24日,データ分析基礎,1,6,名古屋オフィス,3840
INS-004,高橋三郎,コンプライアンス,正社員,2024年01月24日,ハラスメント防止,1,15,名古屋オフィス,2439
