日付,社員ID,氏名,部門,費目,金額,予算,領収書番号
2024/01/04,EMP-973,社員042,開発部,研修費,38183,4430,RCP-2024010027
2024/01/08,EMP-523,社員022,開発部,消耗品費,3566,4430,RCP-2024010028
2024/01/04,EMP-420,社員028,開発部,接待費,48588,4430,RCP-2024010029
2024/01/05,EMP-803,社員031,開発部,交通費,1994,4430,RCP-2024010030
2024/01/03,EMP-542,社員007,開発部,研修費,58843,4430,RCP-2024010031
2024/01/18,EMP-161,社員038,開発部,通信費,3200,4430,RCP-2024010032
2024/01/14,EMP-462,社員043,開発部,消耗品費,7411,4430,RCP-2024010033
2024/01/02,EMP-394,社員039,開発部,接待費,28045,4430,RCP-2024010034
2024/01/17,EMP-317,社員010,開発部,研修費,73201,4430,RCP-2024010035
2024/01/04,EMP-458,社員036,開発部,接待費,12529,4430,RCP-2024010036
2024/01/19,EMP-331,社員028,開発部,通信費,715,4430,RCP-2024010037
2024/01/22,EMP-949,社員045,開発部,接待費,6897,4430,RCP-2024010038
2024/01/23,EMP-880,社員020,開発部,接待費,104727,4430,RCP-2024010039
2024/01/19,EMP-773,社員026,開発部,交通費,2824,4430,RCP-2024010040
2024/01/01,EMP-193,社員048,開発部,通信費,2262,4430,RCP-2024010041
2024/01/15,EMP-449,社員011,開発部,接待費,25423,4430,RCP-2024010042
2024/01/25,EMP-681,社員039,開発部,交通費,34657,4430,RCP-2024010043
2024/01/20,EMP-150,社員044,開発部,交通費,4958,4430,RCP-2024010044
2024/01/14,EMP-597,社員039,開発部,消耗品費,3692,4430,RCP-2024010045
2024/01/25,EMP-624,社員008,開発部,接待費,33174,4430,RCP-2024010046
2024/01/22,EMP-794,社員038,開発部,消耗品費,4616,4430,RCP-2024010047
2024/01/02,EMP-325,社員026,開発部,通信費,2467,4430,RCP-2024010048
2024/01/07,EMP-885,社員009,開発部,接待費,23969,4430,RCP-2024010049
2024/01/01,EMP-609,社員048,開発部,消耗品費,1739,4430,RCP-2024010050
2024/01/18,EMP-820,社員015,開発部,通信費,12663,4430,RCP-2024010051
2024/01/02,EMP-546,社員002,開発部,消耗品費,20604,4430,RCP-2024010052
2024/01/14,EMP-687,社員026,開発部,研修費,64747,4430,RCP-2024010053
2024/01/13,EMP-121,社員021,開発部,宿泊費,28254,4430,RCP-2024010054
2024/01/23,EMP-470,社員006,開発部,消耗品費,7218,4430,RCP-2024010055
2024/01/14,EMP-703,社員026,開発部,通信費,1144,4430,RCP-2024010056
2024/01/10,EMP-863,社員022,開発部,宿泊費,18913,4430,RCP-2024010057
2024/01/03,EMP-622,社員041,開発部,交通費,9193,4430,RCP-2024010058
2024/01/25,EMP-457,社員023,開発部,研修費,29358,4430,RCP-2024010059
2024/01/05,EMP-362,社員013,開発部,宿泊費,27739,4430,RCP-2024010060
2024/01/25,EMP-771,社員005,開発部,宿泊費,28576,4430,RCP-2024010061
2024/01/25,EMP-677,社員049,開発部,通信費,4177,4430,RCP-2024010062
2024/01/19,EMP-758,社員041,開発部,通信費,3147,4430,RCP-2024010063
2024/01/21,EMP-423,社員010,開発部,消耗品費,859,4430,RCP-2024010064
2024/01/21,EMP-410,社員018,開発部,通信費,960,4430,RCP-2024010065
2024/01/03,EMP-417,社員030,開発部,消耗品費,2227,4430,RCP-2024010066
2024/01/03,EMP-760,社員006,開発部,通信費,4653,4430,RCP-2024010067
2024/01/19,EMP-667,社員048,開発部,交通費,7868,4430,RCP-2024010068
2024/01/19,EMP-767,社員013,開発部,接待費,44649,4430,RCP-2024010069
2024/01/05,EMP-163,社員029,開発部,交通費,13786,4430,RCP-2024010070
2024/01/11,EMP-831,社員006,開発部,通信費,6533,4430,RCP-2024010071
2024/01/15,EMP-636,社員034,開発部,通信費,1800,4430,RCP-2024010072
2024/01/10,EMP-496,社員027,開発部,接待費,49492,4430,RCP-2024010073
2024/01/26,EMP-746,社員042,開発部,接待費,9319,4430,RCP-2024010074
2024/01/18,EMP-794,社員025,開発部,接待費,21514,4430,RCP-2024010075
2024/01/22,EMP-717,社員010,開発部,接待費,10341,4430,RCP-2024010076
2024/01/05,EMP-458,社員020,開発部,研修費,61374,4430,RCP-2024010077
2024/01/23,EMP-186,社員020,開発部,通信費,3585,4430,RCP-2024010078
