date,employee_id,employee_name,department,expense_type,amount,budget,receipt_no,amount_imputed,source_file
2024-01-09,EMP-167,社員014,営業部,通信費,3077.0,5208.0,RCP-2024010016,False,01_営業部_経費_202401.csv
2024-01-16,EMP-505,社員042,営業部,消耗品費,1470.0,5208.0,RCP-2024010017,False,01_営業部_経費_202401.csv
2024-01-08,EMP-862,社員036,営業部,通信費,2652.0,5208.0,RCP-2024010018,False,01_営業部_経費_202401.csv
2024-01-14,EMP-697,社員026,営業部,接待費,19373.0,5208.0,RCP-2024010019,False,01_営業部_経費_202401.csv
2024-01-05,EMP-621,社員032,営業部,交通費,28589.0,5208.0,RCP-2024010020,False,01_営業部_経費_202401.csv
2024-01-21,EMP-263,社員044,営業部,消耗品費,14327.0,5208.0,RCP-2024010021,False,01_営業部_経費_202401.csv
2024-01-15,EMP-641,社員017,営業部,通信費,594.0,5208.0,RCP-2024010022,False,01_営業部_経費_202401.csv
2024-01-04,EMP-798,社員035,営業部,接待費,47006.0,5208.0,RCP-2024010023,False,01_営業部_経費_202401.csv
2024-01-10,EMP-545,社員011,営業部,消耗品費,326.0,5208.0,RCP-2024010024,False,01_営業部_経費_202401.csv
2024-01-24,EMP-369,社員033,営業部,宿泊費,24635.0,5208.0,RCP-2024010025,False,01_営業部_経費_202401.csv
2024-01-28,EMP-740,社員020,営業部,研修費,76540.0,5208.0,RCP-2024010026,False,01_営業部_経費_202401.csv
2024-01-05,EMP-482,社員049,営業部,宿泊費,25674.0,5208.0,RCP-2024010027,False,01_営業部_経費_202401.csv
2024-01-17,EMP-100,社員039,営業部,接待費,142834.0,5208.0,RCP-2024010028,False,01_営業部_経費_202401.csv
2024-01-27,EMP-926,社員020,営業部,宿泊費,9898.0,5208.0,RCP-2024010029,False,01_営業部_経費_202401.csv
2024-01-19,EMP-180,社員006,営業部,研修費,73699.0,5208.0,RCP-2024010030,False,01_営業部_経費_202401.csv
2024-01-25,EMP-645,社員050,営業部,宿泊費,12207.0,5208.0,RCP-2024010031,False,01_営業部_経費_202401.csv
2024-01-18,EMP-269,社員017,営業部,通信費,3966.0,5208.0,RCP-2024010032,False,01_営業部_経費_202401.csv
2024-01-18,EMP-873,社員047,営業部,研修費,36365.0,5208.0,RCP-2024010033,False,01_営業部_経費_202401.csv
2024-01-13,EMP-787,社員042,営業部,接待費,33711.0,5208.0,RCP-2024010034,False,01_営業部_経費_202401.csv
2024-01-15,EMP-223,社員016,営業部,宿泊費,10098.0,5208.0,RCP-2024010035,False,01_営業部_経費_202401.csv
2024-01-19,EMP-667,社員015,営業部,通信費,7869.0,5208.0,RCP-2024010036,False,01_営業部_経費_202401.csv
2024-01-02,EMP-334,社員005,営業部,交通費,14584.0,5208.0,RCP-2024010037,False,01_営業部_経費_202401.csv
2024-01-17,EMP-343,社員018,営業部,研修費,73624.0,5208.0,RCP-2024010038,False,01_営業部_経費_202401.csv
2024-01-05,EMP-840,社員037,営業部,通信費,4372.0,5208.0,RCP-2024010039,False,01_営業部_経費_202401.csv
2024-01-16,EMP-926,社員027,営業部,宿泊費,31740.0,5208.0,RCP-2024010040,False,01_営業部_経費_202401.csv
2024-01-14,EMP-520,社員030,営業部,研修費,17100.0,5208.0,RCP-2024010041,False,01_営業部_経費_202401.csv
2024-01-21,EMP-200,社員004,営業部,消耗品費,6265.0,5208.0,RCP-2024010042,False,01_営業部_経費_202401.csv
2024-01-28,EMP-211,社員016,営業部,宿泊費,14232.0,5208.0,RCP-2024010043,False,01_営業部_経費_202401.csv
2024-01-05,EMP-532,社員012,営業部,接待費,35318.0,5208.0,RCP-2024010044,False,01_営業部_経費_202401.csv
2024-01-03,EMP-553,社員036,営業部,交通費,1328.0,5208.0,RCP-2024010045,False,01_営業部_経費_202401.csv
2024-01-18,EMP-956,社員001,営業部,交通費,12846.0,5208.0,RCP-2024010046,False,01_営業部_経費_202401.csv
2024-01-06,EMP-516,社員032,営業部,消耗品費,2051.0,5208.0,RCP-2024010047,False,01_営業部_経費_202401.csv
2024-01-02,EMP-268,社員025,営業部,交通費,6896.0,5208.0,RCP-2024010048,False,01_営業部_経費_202401.csv
2024-01-26,EMP-903,社員030,営業部,接待費,32722.0,5208.0,RCP-2024010049,False,01_営業部_経費_202401.csv
2024-01-24,EMP-902,社員036,営業部,研修費,73788.0,5208.0,RCP-2024010050,False,01_営業部_経費_202401.csv
2024-01-10,EMP-322,社員004,営業部,通信費,12981.0,5208.0,RCP-2024010051,False,01_営業部_経費_202401.csv
2024-01-02,EMP-698,社員031,営業部,通信費,4850.0,5208.0,RCP-2024010052,False,01_営業部_経費_202401.csv
2024-01-17,EMP-182,社員012,営業部,交通費,38163.0,5208.0,RCP-2024010053,False,01_営業部_経費_202401.csv
2024-01-13,EMP-222,社員037,営業部,宿泊費,26970.0,5208.0,RCP-2024010054,False,01_営業部_経費_202401.csv
2024-01-20,EMP-183,社員027,営業部,研修費,78522.0,5208.0,RCP-2024010055,False,01_営業部_経費_202401.csv
2024-01-09,EMP-309,社員043,営業部,研修費,51180.0,5208.0,RCP-2024010056,False,01_営業部_経費_202401.csv
2024-01-13,EMP-234,社員043,営業部,研修費,49321.0,5208.0,RCP-2024010057,False,01_営業部_経費_202401.csv
2024-01-25,EMP-174,社員001,営業部,消耗品費,5388.0,5208.0,RCP-2024010058,False,01_営業部_経費_202401.csv
2024-01-04,EMP-175,社員035,営業部,宿泊費,24576.0,5208.0,RCP-2024010059,False,01_営業部_経費_202401.csv
2024-01-12,EMP-170,社員016,営業部,接待費,23676.0,5208.0,RCP-2024010060,False,01_営業部_経費_202401.csv
2024-01-27,EMP-656,社員046,営業部,接待費,45086.0,5208.0,RCP-2024010061,False,01_営業部_経費_202401.csv
2024-01-26,EMP-769,社員034,営業部,交通費,11442.0,5208.0,RCP-2024010062,False,01_営業部_経費_202401.csv
2024-01-10,EMP-779,社員007,営業部,宿泊費,16666.0,5208.0,RCP-2024010063,False,01_営業部_経費_202401.csv
2024-01-04,EMP-860,社員036,営業部,宿泊費,16924.0,5208.0,RCP-2024010064,False,01_営業部_経費_202401.csv
2024-01-07,EMP-834,社員022,営業部,宿泊費,28782.0,5208.0,RCP-2024010065,False,01_営業部_経費_202401.csv
2024-01-17,EMP-600,社員017,営業部,交通費,2012.0,5208.0,RCP-2024010066,False,01_営業部_経費_202401.csv
2024-01-27,EMP-383,社員003,営業部,交通費,5964.0,5208.0,RCP-2024010067,False,01_営業部_経費_202401.csv
2024-01-21,EMP-368,社員011,営業部,研修費,67912.0,5208.0,RCP-2024010068,False,01_営業部_経費_202401.csv
2024-01-14,EMP-674,社員001,営業部,交通費,1732.0,5208.0,RCP-2024010069,False,01_営業部_経費_202401.csv
2024-01-23,EMP-252,社員035,営業部,交通費,14174.0,5208.0,RCP-2024010070,False,01_営業部_経費_202401.csv
2024-01-18,EMP-251,社員028,営業部,宿泊費,9370.0,5208.0,RCP-2024010071,False,01_営業部_経費_202401.csv
2024-01-26,EMP-981,社員003,営業部,接待費,18767.0,5208.0,RCP-2024010072,False,01_営業部_経費_202401.csv
2024-01-22,EMP-205,社員023,営業部,通信費,3829.0,5208.0,RCP-2024010073,False,01_営業部_経費_202401.csv
2024-01-24,EMP-258,社員016,営業部,宿泊費,13801.0,5208.0,RCP-2024010074,False,01_営業部_経費_202401.csv
2024-01-01,EMP-283,社員048,営業部,接待費,31982.0,5208.0,RCP-2024010075,False,01_営業部_経費_202401.csv
2024-01-28,EMP-852,社員016,営業部,接待費,15433.0,5208.0,RCP-2024010076,False,01_営業部_経費_202401.csv
2024-01-04,EMP-491,社員003,営業部,消耗品費,2122.0,5208.0,RCP-2024010077,False,01_営業部_経費_202401.csv
2024-01-15,EMP-458,社員020,営業部,宿泊費,36519.0,5208.0,RCP-2024010078,False,01_営業部_経費_202401.csv
2024-01-11,EMP-385,社員005,営業部,接待費,28012.0,5208.0,RCP-2024010079,False,01_営業部_経費_202401.csv
2024-01-13,EMP-795,社員035,営業部,接待費,6808.0,5208.0,RCP-2024010080,False,01_営業部_経費_202401.csv
2024-01-09,EMP-282,社員038,営業部,接待費,7507.0,5208.0,RCP-2024010081,False,01_営業部_経費_202401.csv
2024-01-14,EMP-453,社員047,営業部,接待費,33599.0,5208.0,RCP-2024010082,False,01_営業部_経費_202401.csv
2024-01-17,EMP-218,社員025,営業部,通信費,2057.0,5208.0,RCP-2024010083,False,01_営業部_経費_202401.csv
2024-01-23,EMP-546,社員001,営業部,通信費,4910.0,5208.0,RCP-2024010084,False,01_営業部_経費_202401.csv
2024-01-24,EMP-854,社員043,営業部,宿泊費,19934.0,5208.0,RCP-2024010085,False,01_営業部_経費_202401.csv
2024-01-22,EMP-438,社員040,営業部,接待費,48475.0,5208.0,RCP-2024010086,False,01_営業部_経費_202401.csv
2024-01-24,EMP-407,社員033,営業部,接待費,48705.0,5208.0,RCP-2024010087,False,01_営業部_経費_202401.csv
2024-01-13,EMP-813,社員019,営業部,通信費,1542.0,5208.0,RCP-2024010088,False,01_営業部_経費_202401.csv
2024-01-22,EMP-488,社員044,営業部,研修費,32810.0,5208.0,RCP-2024010089,False,01_営業部_経費_202401.csv
2024-01-10,EMP-515,社員036,営業部,交通費,5478.0,5208.0,RCP-2024010090,False,01_営業部_経費_202401.csv
2024-01-14,EMP-904,社員038,営業部,通信費,3139.0,5208.0,RCP-2024010091,False,01_営業部_経費_202401.csv
2024-01-15,EMP-791,社員014,営業部,通信費,4376.0,5208.0,RCP-2024010092,False,01_営業部_経費_202401.csv
2024-01-26,EMP-853,社員011,営業部,研修費,21114.0,5208.0,RCP-2024010093,False,01_営業部_経費_202401.csv
2024-01-22,EMP-748,社員040,営業部,接待費,11120.0,5208.0,RCP-2024010094,False,01_営業部_経費_202401.csv
2024-01-25,EMP-340,社員044,営業部,接待費,19722.0,5208.0,RCP-2024010095,False,01_営業部_経費_202401.csv
2024-01-01,EMP-147,社員016,経理部,消耗品費,5307.0,3636.0,RCP-2024010000,False,02_経理部_expense_202401.csv
2024-01-03,EMP-566,社員027,経理部,研修費,35485.0,3636.0,RCP-2024010001,False,02_経理部_expense_202401.csv
2024-01-13,EMP-606,社員026,経理部,宿泊費,12835.0,3636.0,RCP-2024010002,False,02_経理部_expense_202401.csv
2024-01-01,EMP-868,社員050,経理部,交通費,13253.0,3636.0,RCP-2024010003,False,02_経理部_expense_202401.csv
2024-01-06,EMP-923,社員045,経理部,通信費,10755.0,3636.0,RCP-2024010004,False,02_経理部_expense_202401.csv
2024-01-28,EMP-224,社員030,経理部,宿泊費,23225.0,3636.0,RCP-2024010005,False,02_経理部_expense_202401.csv
2024-01-18,EMP-709,社員021,経理部,消耗品費,5318.0,3636.0,RCP-2024010006,False,02_経理部_expense_202401.csv
2024-01-17,EMP-536,社員036,経理部,消耗品費,7649.0,3636.0,RCP-2024010007,False,02_経理部_expense_202401.csv
2024-01-28,EMP-586,社員029,経理部,接待費,21203.0,3636.0,RCP-2024010008,False,02_経理部_expense_202401.csv
2024-01-09,EMP-884,社員050,経理部,通信費,4469.0,3636.0,RCP-2024010009,False,02_経理部_expense_202401.csv
2024-01-09,EMP-550,社員005,経理部,研修費,47450.0,3636.0,RCP-2024010010,False,02_経理部_expense_202401.csv
2024-01-11,EMP-427,社員035,経理部,交通費,2767.0,3636.0,RCP-2024010011,False,02_経理部_expense_202401.csv
2024-01-13,EMP-810,社員010,経理部,研修費,107098.0,3636.0,RCP-2024010012,False,02_経理部_expense_202401.csv
2024-01-18,EMP-577,社員027,経理部,交通費,3888.0,3636.0,RCP-2024010013,False,02_経理部_expense_202401.csv
2024-01-13,EMP-888,社員038,経理部,研修費,12560.0,3636.0,RCP-2024010014,False,02_経理部_expense_202401.csv
2024-01-25,EMP-689,社員025,経理部,消耗品費,348.0,3636.0,RCP-2024010015,False,02_経理部_expense_202401.csv
2024-01-10,EMP-871,社員025,経理部,消耗品費,4709.0,3636.0,RCP-2024010016,False,02_経理部_expense_202401.csv
2024-01-18,EMP-919,社員039,経理部,宿泊費,23998.0,3636.0,RCP-2024010017,False,02_経理部_expense_202401.csv
2024-01-14,EMP-597,社員002,経理部,消耗品費,3053.0,3636.0,RCP-2024010018,False,02_経理部_expense_202401.csv
2024-01-26,EMP-514,社員047,経理部,宿泊費,23315.0,3636.0,RCP-2024010019,False,02_経理部_expense_202401.csv
2024-01-20,EMP-646,社員002,経理部,消耗品費,5148.0,3636.0,RCP-2024010020,False,02_経理部_expense_202401.csv
2024-01-01,EMP-185,社員042,経理部,消耗品費,1411.0,3636.0,RCP-2024010021,False,02_経理部_expense_202401.csv
2024-01-06,EMP-151,社員017,経理部,消耗品費,2981.0,3636.0,RCP-2024010022,False,02_経理部_expense_202401.csv
2024-01-11,EMP-445,社員049,経理部,消耗品費,2579.0,3636.0,RCP-2024010023,False,02_経理部_expense_202401.csv
2024-01-27,EMP-531,社員017,経理部,交通費,25261.0,3636.0,RCP-2024010024,False,02_経理部_expense_202401.csv
2024-01-12,EMP-329,社員042,経理部,交通費,13299.0,3636.0,RCP-2024010025,False,02_経理部_expense_202401.csv
2024-01-02,EMP-872,社員002,経理部,宿泊費,14532.0,3636.0,RCP-2024010026,False,02_経理部_expense_202401.csv
2024-01-20,EMP-256,社員016,経理部,宿泊費,23517.0,3636.0,RCP-2024010027,False,02_経理部_expense_202401.csv
2024-01-19,EMP-323,社員030,経理部,研修費,43586.0,3636.0,RCP-2024010028,False,02_経理部_expense_202401.csv
2024-01-06,EMP-720,社員039,経理部,研修費,25012.0,3636.0,RCP-2024010029,False,02_経理部_expense_202401.csv
2024-01-06,EMP-418,社員007,経理部,通信費,710.0,3636.0,RCP-2024010030,False,02_経理部_expense_202401.csv
2024-01-19,EMP-793,社員025,経理部,消耗品費,6157.0,3636.0,RCP-2024010031,False,02_経理部_expense_202401.csv
2024-01-19,EMP-807,社員041,経理部,宿泊費,11339.0,3636.0,RCP-2024010032,False,02_経理部_expense_202401.csv
2024-01-10,EMP-970,社員044,経理部,通信費,1491.0,3636.0,RCP-2024010033,False,02_経理部_expense_202401.csv
2024-01-19,EMP-901,社員003,経理部,接待費,39913.0,3636.0,RCP-2024010034,False,02_経理部_expense_202401.csv
2024-01-12,EMP-170,社員033,経理部,研修費,155425.0,3636.0,RCP-2024010035,False,02_経理部_expense_202401.csv
2024-01-16,EMP-208,社員028,経理部,接待費,46653.0,3636.0,RCP-2024010036,False,02_経理部_expense_202401.csv
2024-01-15,EMP-824,社員010,経理部,消耗品費,1742.0,3636.0,RCP-2024010037,False,02_経理部_expense_202401.csv
2024-01-21,EMP-376,社員040,経理部,通信費,4460.0,3636.0,RCP-2024010038,False,02_経理部_expense_202401.csv
2024-01-27,EMP-848,社員038,経理部,接待費,26122.0,3636.0,RCP-2024010039,False,02_経理部_expense_202401.csv
2024-01-27,EMP-188,社員018,経理部,消耗品費,2297.0,3636.0,RCP-2024010040,False,02_経理部_expense_202401.csv
2024-01-19,EMP-724,社員043,経理部,消耗品費,11309.0,3636.0,RCP-2024010041,False,02_経理部_expense_202401.csv
2024-01-06,EMP-599,社員014,経理部,接待費,21931.0,3636.0,RCP-2024010042,False,02_経理部_expense_202401.csv
2024-01-20,EMP-818,社員018,経理部,通信費,583.0,3636.0,RCP-2024010043,False,02_経理部_expense_202401.csv
2024-01-07,EMP-187,社員016,経理部,研修費,63271.0,3636.0,RCP-2024010044,False,02_経理部_expense_202401.csv
2024-01-25,EMP-346,社員045,経理部,消耗品費,5591.0,3636.0,RCP-2024010045,False,02_経理部_expense_202401.csv
2024-01-15,EMP-911,社員002,経理部,交通費,5320.0,3636.0,RCP-2024010046,False,02_経理部_expense_202401.csv
2024-01-23,EMP-349,社員020,経理部,研修費,58368.0,3636.0,RCP-2024010047,False,02_経理部_expense_202401.csv
2024-01-17,EMP-452,社員028,経理部,研修費,53357.0,3636.0,RCP-2024010048,False,02_経理部_expense_202401.csv
2024-01-15,EMP-377,社員020,経理部,接待費,20108.0,3636.0,RCP-2024010049,False,02_経理部_expense_202401.csv
2024-01-07,EMP-423,社員008,経理部,研修費,34267.0,3636.0,RCP-2024010050,False,02_経理部_expense_202401.csv
2024-01-24,EMP-595,社員018,経理部,研修費,78765.0,3636.0,RCP-2024010051,False,02_経理部_expense_202401.csv
2024-01-04,EMP-952,社員013,経理部,接待費,19908.0,3636.0,RCP-2024010052,False,02_経理部_expense_202401.csv
2024-01-10,EMP-114,社員046,経理部,通信費,1536.0,3636.0,RCP-2024010053,False,02_経理部_expense_202401.csv
2024-01-02,EMP-666,社員019,経理部,研修費,26551.0,3636.0,RCP-2024010054,False,02_経理部_expense_202401.csv
2024-01-04,EMP-993,社員001,人事部,通信費,2829.0,3378.0,RCP-2024010000,False,03_人事部_経費_202401.csv
2024-01-15,EMP-448,社員012,人事部,交通費,4636.0,3378.0,RCP-2024010001,False,03_人事部_経費_202401.csv
2024-01-16,EMP-216,社員005,人事部,消耗品費,14104.0,3378.0,RCP-2024010002,False,03_人事部_経費_202401.csv
2024-01-02,EMP-255,社員010,人事部,通信費,7461.0,3378.0,RCP-2024010003,False,03_人事部_経費_202401.csv
2024-01-18,EMP-882,社員027,人事部,通信費,2348.0,3378.0,RCP-2024010004,False,03_人事部_経費_202401.csv
2024-01-13,EMP-561,社員029,人事部,接待費,43569.0,3378.0,RCP-2024010005,False,03_人事部_経費_202401.csv
2024-01-10,EMP-682,社員040,人事部,交通費,10488.0,3378.0,RCP-2024010006,False,03_人事部_経費_202401.csv
2024-01-04,EMP-881,社員014,人事部,研修費,37659.0,3378.0,RCP-2024010007,False,03_人事部_経費_202401.csv
2024-01-03,EMP-260,社員016,人事部,宿泊費,52313.0,3378.0,RCP-2024010008,False,03_人事部_経費_202401.csv
2024-01-15,EMP-805,社員039,人事部,消耗品費,6917.0,3378.0,RCP-2024010009,False,03_人事部_経費_202401.csv
2024-01-10,EMP-819,社員030,人事部,交通費,11762.0,3378.0,RCP-2024010010,False,03_人事部_経費_202401.csv
2024-01-09,EMP-906,社員041,人事部,通信費,2120.0,3378.0,RCP-2024010011,False,03_人事部_経費_202401.csv
2024-01-18,EMP-330,社員042,人事部,宿泊費,16704.0,3378.0,RCP-2024010012,False,03_人事部_経費_202401.csv
2024-01-03,EMP-161,社員011,人事部,接待費,43996.0,3378.0,RCP-2024010013,False,03_人事部_経費_202401.csv
2024-01-19,EMP-395,社員029,人事部,交通費,8179.0,3378.0,RCP-2024010014,False,03_人事部_経費_202401.csv
2024-01-23,EMP-512,社員018,人事部,通信費,4923.0,3378.0,RCP-2024010015,False,03_人事部_経費_202401.csv
2024-01-03,EMP-712,社員003,人事部,消耗品費,6317.0,3378.0,RCP-2024010016,False,03_人事部_経費_202401.csv
2024-01-09,EMP-126,社員006,人事部,宿泊費,26848.0,3378.0,RCP-2024010017,False,03_人事部_経費_202401.csv
2024-01-01,EMP-883,社員044,人事部,接待費,150210.0,3378.0,RCP-2024010018,False,03_人事部_経費_202401.csv
2024-01-16,EMP-631,社員042,人事部,消耗品費,7804.0,3378.0,RCP-2024010019,False,03_人事部_経費_202401.csv
2024-01-19,EMP-546,社員041,人事部,消耗品費,1047.0,3378.0,RCP-2024010020,False,03_人事部_経費_202401.csv
2024-01-14,EMP-441,社員021,人事部,研修費,23710.0,3378.0,RCP-2024010021,False,03_人事部_経費_202401.csv
2024-01-11,EMP-521,社員045,人事部,消耗品費,2661.0,3378.0,RCP-2024010022,False,03_人事部_経費_202401.csv
2024-01-13,EMP-933,社員049,人事部,通信費,800.0,3378.0,RCP-2024010023,False,03_人事部_経費_202401.csv
2024-01-11,EMP-358,社員021,人事部,交通費,13157.0,3378.0,RCP-2024010024,False,03_人事部_経費_202401.csv
2024-01-17,EMP-944,社員001,人事部,研修費,70552.0,3378.0,RCP-2024010025,False,03_人事部_経費_202401.csv
2024-01-07,EMP-630,社員024,人事部,通信費,4583.0,3378.0,RCP-2024010026,False,03_人事部_経費_202401.csv
2024-01-25,EMP-152,社員014,人事部,接待費,40993.0,3378.0,RCP-2024010027,False,03_人事部_経費_202401.csv
2024-01-10,EMP-548,社員045,人事部,消耗品費,4218.0,3378.0,RCP-2024010028,False,03_人事部_経費_202401.csv
2024-01-26,EMP-345,社員046,人事部,宿泊費,18182.0,3378.0,RCP-2024010029,False,03_人事部_経費_202401.csv
2024-01-18,EMP-517,社員006,人事部,宿泊費,11717.0,3378.0,RCP-2024010030,False,03_人事部_経費_202401.csv
2024-01-04,EMP-763,社員010,人事部,消耗品費,7940.0,3378.0,RCP-2024010031,False,03_人事部_経費_202401.csv
2024-01-17,EMP-822,社員018,人事部,消耗品費,7138.0,3378.0,RCP-2024010032,False,03_人事部_経費_202401.csv
2024-01-16,EMP-349,社員030,人事部,通信費,1684.0,3378.0,RCP-2024010033,False,03_人事部_経費_202401.csv
2024-01-20,EMP-620,社員048,人事部,宿泊費,10287.0,3378.0,RCP-2024010034,False,03_人事部_経費_202401.csv
2024-01-26,EMP-974,社員027,人事部,接待費,38275.0,3378.0,RCP-2024010035,False,03_人事部_経費_202401.csv
2024-01-01,EMP-389,社員047,人事部,接待費,43465.0,3378.0,RCP-2024010036,False,03_人事部_経費_202401.csv
2024-01-22,EMP-601,社員010,人事部,消耗品費,4712.0,3378.0,RCP-2024010037,False,03_人事部_経費_202401.csv
2024-01-11,EMP-665,社員049,人事部,通信費,3590.0,3378.0,RCP-2024010038,False,03_人事部_経費_202401.csv
2024-01-11,EMP-990,社員013,人事部,研修費,41300.0,3378.0,RCP-2024010039,False,03_人事部_経費_202401.csv
2024-01-08,EMP-976,社員050,人事部,消耗品費,657.0,3378.0,RCP-2024010040,False,03_人事部_経費_202401.csv
2024-01-16,EMP-822,社員025,人事部,消耗品費,5736.0,3378.0,RCP-2024010041,False,03_人事部_経費_202401.csv
2024-01-21,EMP-255,社員032,人事部,交通費,2568.0,3378.0,RCP-2024010042,False,03_人事部_経費_202401.csv
2024-01-19,EMP-439,社員007,人事部,消耗品費,1116.0,3378.0,RCP-2024010043,False,03_人事部_経費_202401.csv
2024-01-15,EMP-115,社員047,人事部,宿泊費,21434.0,3378.0,RCP-2024010044,False,03_人事部_経費_202401.csv
2024-01-05,EMP-176,社員031,人事部,接待費,27187.0,3378.0,RCP-2024010045,False,03_人事部_経費_202401.csv
2024-01-13,EMP-765,社員006,人事部,接待費,49194.0,3378.0,RCP-2024010046,False,03_人事部_経費_202401.csv
2024-01-13,EMP-424,社員041,人事部,研修費,73956.0,3378.0,RCP-2024010047,False,03_人事部_経費_202401.csv
2024-01-02,EMP-732,社員005,人事部,宿泊費,28681.0,3378.0,RCP-2024010048,False,03_人事部_経費_202401.csv
2024-01-10,EMP-332,社員048,人事部,交通費,7610.0,3378.0,RCP-2024010049,False,03_人事部_経費_202401.csv
2024-01-25,EMP-748,社員046,人事部,交通費,7769.0,3378.0,RCP-2024010050,False,03_人事部_経費_202401.csv
2024-01-10,EMP-129,社員003,人事部,接待費,8677.0,3378.0,RCP-2024010051,False,03_人事部_経費_202401.csv
2024-01-12,EMP-541,社員010,人事部,宿泊費,25405.0,3378.0,RCP-2024010052,False,03_人事部_経費_202401.csv
2024-01-22,EMP-911,社員012,人事部,宿泊費,51395.0,3378.0,RCP-2024010053,False,03_人事部_経費_202401.csv
2024-01-20,EMP-799,社員016,人事部,消耗品費,7777.0,3378.0,RCP-2024010054,False,03_人事部_経費_202401.csv
2024-01-08,EMP-572,社員041,人事部,接待費,35118.0,3378.0,RCP-2024010055,False,03_人事部_経費_202401.csv
2024-01-01,EMP-923,社員030,人事部,接待費,49407.0,3378.0,RCP-2024010056,False,03_人事部_経費_202401.csv
2024-01-03,EMP-552,社員023,人事部,通信費,2950.0,3378.0,RCP-2024010057,False,03_人事部_経費_202401.csv
2024-01-14,EMP-806,社員017,人事部,消耗品費,7224.0,3378.0,RCP-2024010058,False,03_人事部_経費_202401.csv
2024-01-13,EMP-973,社員031,人事部,交通費,4386.0,3378.0,RCP-2024010059,False,03_人事部_経費_202401.csv
2024-01-12,EMP-688,社員019,人事部,研修費,178231.0,3378.0,RCP-2024010060,False,03_人事部_経費_202401.csv
2024-01-13,EMP-381,社員001,人事部,通信費,901.0,3378.0,RCP-2024010061,False,03_人事部_経費_202401.csv
2024-01-24,EMP-608,社員019,人事部,宿泊費,27892.0,3378.0,RCP-2024010062,False,03_人事部_経費_202401.csv
2024-01-08,EMP-751,社員013,人事部,通信費,2553.0,3378.0,RCP-2024010063,False,03_人事部_経費_202401.csv
2024-01-24,EMP-885,社員043,人事部,研修費,27927.0,3378.0,RCP-2024010064,False,03_人事部_経費_202401.csv
2024-01-21,EMP-761,社員003,人事部,接待費,92507.0,3378.0,RCP-2024010065,False,03_人事部_経費_202401.csv
2024-01-05,EMP-192,社員019,人事部,接待費,32230.0,3378.0,RCP-2024010066,False,03_人事部_経費_202401.csv
2024-01-05,EMP-905,社員035,人事部,接待費,39789.0,3378.0,RCP-2024010067,False,03_人事部_経費_202401.csv
2024-01-09,EMP-950,社員011,人事部,接待費,36578.0,3378.0,RCP-2024010068,False,03_人事部_経費_202401.csv
2024-01-10,EMP-864,社員022,人事部,交通費,8173.0,3378.0,RCP-2024010069,False,03_人事部_経費_202401.csv
2024-01-05,EMP-872,社員015,人事部,研修費,62089.0,3378.0,RCP-2024010070,False,03_人事部_経費_202401.csv
2024-01-26,EMP-670,社員024,人事部,交通費,13454.0,3378.0,RCP-2024010071,False,03_人事部_経費_202401.csv
2024-01-09,EMP-649,社員008,人事部,消耗品費,3319.0,3378.0,RCP-2024010072,False,03_人事部_経費_202401.csv
2024-01-22,EMP-368,社員038,人事部,消耗品費,7037.0,3378.0,RCP-2024010073,False,03_人事部_経費_202401.csv
