ドライバーID,氏名,営業所,乗務日,出庫時刻,帰庫時刻,休憩時間h,走行距離km,運行区分
DRV002,ドライバー02,大阪営業所,2024-01-29,06:30,18:40,1.2,500.7,長距離
DRV007,ドライバー07,東京営業所,2024-01-24,10:45,20:43,1.1,181.4,中距離
DRV004,ドライバー04,東京営業所,2024-01-14,08:45,21:46,1.9,316.3,長距離
DRV021,ドライバー21,名古屋営業所,2024-01-04,06:45,16:56,0.9,37.6,市内配送
DRV007,ドライバー07,東京営業所,2024-01-15,07:45,20:12,1.5,562.3,長距離
DRV003,ドライバー03,名古屋営業所,2024-01-28,10:00,19:12,1.5,267.2,中距離
DRV003,ドライバー03,名古屋営業所,2024-01-28,07:15,16:28,0.7,90.5,市内配送
DRV029,ドライバー29,大阪営業所,2024-01-13,06:45,19:24,1.8,436.5,長距離
DRV014,ドライバー14,大阪営業所,2024-01-24,10:45,19:12,0.6,97.8,市内配送
DRV019,ドライバー19,東京営業所,2024-01-02,08:00,16:09,0.7,94.4,市内配送
DRV017,ドライバー17,大阪営業所,2024-01-31,10:00,00:07,1.1,320.4,長距離
DRV028,ドライバー28,東京営業所,2024-01-04,10:15,23:41,1.0,324.6,長距離
DRV022,ドライバー22,東京営業所,2024-01-17,08:30,18:19,1.3,147.7,中距離
DRV013,ドライバー13,東京営業所,2024-01-21,08:45,21:32,1.8,321.8,長距離
DRV015,ドライバー15,名古屋営業所,2024-01-19,06:00,15:36,0.8,39.3,市内配送
DRV012,ドライバー12,名古屋営業所,2024-01-29,07:30,16:21,0.7,68.0,市内配送
DRV010,ドライバー10,東京営業所,2024-01-26,10:00,20:00,0.8,95.2,市内配送
DRV004,ドライバー04,東京営業所,2024-01-05,08:00,18:40,0.9,40.9,市内配送
DRV010,ドライバー10,東京営業所,2024-01-23,08:15,18:18,0.9,65.4,市内配送
DRV009,ドライバー09,名古屋営業所,2024-01-28,06:00,15:54,0.9,33.1,市内配送
DRV011,ドライバー11,大阪営業所,2024-01-21,08:15,18:28,0.8,59.9,市内配送
DRV001,ドライバー01,東京営業所,2024-01-31,07:00,21:05,1.6,344.4,長距離
DRV005,ドライバー05,大阪営業所,2024-01-12,06:30,19:01,1.2,330.8,長距離
DRV025,ドライバー25,東京営業所,2024-01-28,09:15,21:57,0.9,132.5,中距離
DRV026,ドライバー26,大阪営業所,2024-01-29,09:00,17:32,1.0,84.8,市内配送
DRV014,ドライバー14,大阪営業所,2024-01-28,07:30,15:58,0.9,56.8,市内配送
DRV002,ドライバー02,大阪営業所,2024-01-08,07:45,16:47,0.9,91.0,市内配送
DRV008,ドライバー08,大阪営業所,2024-01-07,09:30,22:11,1.1,532.0,長距離
DRV012,ドライバー12,名古屋営業所,2024-01-13,10:30,21:19,0.6,97.9,市内配送
DRV006,ドライバー06,名古屋営業所,2024-01-09,06:00,17:23,1.0,257.3,中距離
DRV014,ドライバー14,大阪営業所,2024-01-17,06:45,17:26,0.6,33.1,市内配送
DRV014,ドライバー14,大阪営業所,2024-01-30,10:15,23:09,1.1,499.3,長距離
DRV011,ドライバー11,大阪営業所,2024-01-22,06:30,16:01,0.8,52.8,市内配送
DRV023,ドライバー23,大阪営業所,2024-01-05,07:45,19:24,1.0,249.6,中距離
DRV006,ドライバー06,名古屋営業所,2024-01-10,09:00,17:54,0.6,85.0,市内配送
DRV020,ドライバー20,大阪営業所,2024-01-15,09:45,19:46,0.8,85.6,市内配送
DRV026,ドライバー26,大阪営業所,2024-01-22,06:30,16:02,0.8,53.5,市内配送
DRV027,ドライバー27,名古屋営業所,2024-01-08,08:15,18:40,0.6,33.2,市内配送
DRV016,ドライバー16,東京営業所,2024-01-25,06:45,15:59,0.8,43.6,市内配送
DRV023,ドライバー23,大阪営業所,2024-01-13,07:15,18:52,0.8,250.2,中距離
DRV025,ドライバー25,東京営業所,2024-01-25,09:15,17:46,1.0,66.3,市内配送
DRV002,ドライバー02,大阪営業所,2024-01-30,06:45,16:17,1.1,206.2,中距離
DRV018,ドライバー18,名古屋営業所,2024-01-31,09:45,22:04,1.2,279.4,中距離
DRV024,ドライバー24,名古屋営業所,2024-01-15,08:15,18:46,0.6,84.4,市内配送
DRV016,ドライバー16,東京営業所,2024-01-09,09:00,19:08,0.6,53.5,市内配送
DRV029,ドライバー29,大阪営業所,2024-01-05,07:15,17:46,0.9,142.8,中距離
DRV014,ドライバー14,大阪営業所,2024-01-18,09:45,18:59,1.4,177.9,中距離
DRV025,ドライバー25,東京営業所,2024-01-23,06:45,17:39,1.5,159.7,中距離
DRV013,ドライバー13,東京営業所,2024-01-31,09:15,18:42,0.6,64.0,市内配送
DRV013,ドライバー13,東京営業所,2024-01-22,09:15,21:36,1.4,296.1,中距離
DRV018,ドライバー18,名古屋営業所,2024-01-13,10:00,22:12,1.4,560.1,長距離
DRV006,ドライバー06,名古屋営業所,2024-01-13,08:15,21:23,1.3,563.9,長距離
DRV009,ドライバー09,名古屋営業所,2024-01-27,09:30,20:00,0.7,82.4,市内配送
DRV002,ドライバー02,大阪営業所,2024-01-12,07:00,17:20,0.8,82.8,市内配送
DRV008,ドライバー08,大阪営業所,2024-01-01,10:15,22:50,1.5,334.3,長距離
DRV007,ドライバー07,東京営業所,2024-01-09,08:15,19:40,1.5,243.7,中距離
DRV025,ドライバー25,東京営業所,2024-01-31,08:00,17:44,1.0,70.3,市内配送
DRV030,ドライバー30,名古屋営業所,2024-01-13,07:00,16:46,0.9,47.0,市内配送
DRV023,ドライバー23,大阪営業所,2024-01-28,10:00,20:23,0.8,32.9,市内配送
DRV018,ドライバー18,名古屋営業所,2024-01-12,06:30,15:33,1.1,198.0,中距離
DRV014,ドライバー14,大阪営業所,2024-01-21,09:15,18:33,0.9,97.6,市内配送
DRV009,ドライバー09,名古屋営業所,2024-01-30,10:45,20:08,0.9,71.5,市内配送
DRV011,ドライバー11,大阪営業所,2024-01-27,06:30,17:08,0.6,62.5,市内配送
DRV020,ドライバー20,大阪営業所,2024-01-11,06:45,17:18,0.6,44.8,市内配送
DRV026,ドライバー26,大阪営業所,2024-01-09,10:30,21:43,1.1,138.2,中距離
DRV008,ドライバー08,大阪営業所,2024-01-16,10:15,20:19,0.8,64.4,市内配送
DRV026,ドライバー26,大阪営業所,2024-01-10,07:45,21:28,1.3,474.5,長距離
DRV016,ドライバー16,東京営業所,2024-01-12,09:30,19:54,1.1,161.3,中距離
DRV008,ドライバー08,大阪営業所,2024-01-07,08:00,21:51,2.0,507.0,長距離
DRV007,ドライバー07,東京営業所,2024-01-16,08:30,22:57,1.8,388.9,長距離
DRV012,ドライバー12,名古屋営業所,2024-01-01,10:15,22:56,2.0,466.0,長距離
DRV023,ドライバー23,大阪営業所,2024-01-21,09:00,19:37,0.8,62.9,市内配送
DRV015,ドライバー15,名古屋営業所,2024-01-31,06:30,19:15,1.1,264.4,中距離
DRV013,ドライバー13,東京営業所,2024-01-19,06:15,15:50,1.2,160.8,中距離
DRV008,ドライバー08,大阪営業所,2024-01-25,09:15,23:11,1.4,572.6,長距離
DRV010,ドライバー10,東京営業所,2024-01-14,08:00,17:49,0.9,96.3,市内配送
DRV007,ドライバー07,東京営業所,2024-01-09,06:15,14:58,0.8,41.0,市内配送
DRV014,ドライバー14,大阪営業所,2024-01-20,09:30,18:37,1.0,156.5,中距離
DRV028,ドライバー28,東京営業所,2024-01-22,07:30,19:39,1.2,232.2,中距離
DRV030,ドライバー30,名古屋営業所,2024-01-04,10:15,23:52,1.9,548.0,長距離
DRV003,ドライバー03,名古屋営業所,2024-01-26,08:30,21:35,1.5,391.2,長距離
DRV013,ドライバー13,東京営業所,2024-01-17,10:45,20:03,0.8,92.3,市内配送
DRV024,ドライバー24,名古屋営業所,2024-01-09,06:00,15:54,1.3,272.1,中距離
DRV019,ドライバー19,東京営業所,2024-01-25,08:00,18:17,0.6,66.3,市内配送
DRV015,ドライバー15,名古屋営業所,2024-01-06,10:45,20:39,0.7,36.4,市内配送
DRV012,ドライバー12,名古屋営業所,2024-01-11,06:15,16:34,1.3,157.6,中距離
DRV013,ドライバー13,東京営業所,2024-01-18,06:45,15:00,0.6,38.1,市内配送
DRV025,ドライバー25,東京営業所,2024-01-17,06:45,17:24,0.9,172.4,中距離
DRV025,ドライバー25,東京営業所,2024-01-15,06:15,16:19,0.8,157.6,中距離
DRV029,ドライバー29,大阪営業所,2024-01-04,06:15,16:22,0.7,31.0,市内配送
DRV014,ドライバー14,大阪営業所,2024-01-27,06:45,21:07,1.6,346.2,長距離
DRV030,ドライバー30,名古屋営業所,2024-01-17,08:45,19:15,1.0,47.1,市内配送
DRV018,ドライバー18,名古屋営業所,2024-01-07,10:15,00:24,1.3,537.0,長距離
DRV014,ドライバー14,大阪営業所,2024-01-26,10:30,22:46,1.0,159.7,中距離
DRV019,ドライバー19,東京営業所,2024-01-22,09:15,20:02,1.1,166.5,中距離
DRV025,ドライバー25,東京営業所,2024-01-15,08:15,21:10,0.9,176.6,中距離
DRV028,ドライバー28,東京営業所,2024-01-02,08:45,18:51,0.9,57.0,市内配送
DRV022,ドライバー22,東京営業所,2024-01-21,07:45,18:38,0.6,97.6,市内配送
DRV011,ドライバー11,大阪営業所,2024-01-28,09:00,18:34,0.7,80.6,市内配送
DRV014,ドライバー14,大阪営業所,2024-01-05,06:45,17:05,0.6,73.6,市内配送
DRV013,ドライバー13,東京営業所,2024-01-28,08:45,19:36,0.8,92.1,市内配送
DRV016,ドライバー16,東京営業所,2024-01-02,10:00,18:42,0.8,50.1,市内配送
DRV008,ドライバー08,大阪営業所,2024-01-14,06:00,15:19,0.8,93.2,市内配送
DRV002,ドライバー02,大阪営業所,2024-01-02,08:30,18:59,0.9,206.2,中距離
DRV019,ドライバー19,東京営業所,2024-01-06,07:15,15:29,0.9,73.4,市内配送
DRV008,ドライバー08,大阪営業所,2024-01-19,07:15,18:05,0.9,151.1,中距離
DRV001,ドライバー01,東京営業所,2024-01-15,08:15,16:28,1.0,99.1,市内配送
DRV010,ドライバー10,東京営業所,2024-01-14,08:45,19:17,0.6,56.9,市内配送
DRV016,ドライバー16,東京営業所,2024-01-13,10:30,23:56,2.0,388.6,長距離
DRV027,ドライバー27,名古屋営業所,2024-01-09,06:00,16:43,0.9,88.3,市内配送
DRV029,ドライバー29,大阪営業所,2024-01-26,07:30,17:22,0.9,150.1,中距離
DRV025,ドライバー25,東京営業所,2024-01-22,07:00,17:42,0.8,51.6,市内配送
DRV015,ドライバー15,名古屋営業所,2024-01-12,07:00,21:16,1.3,424.7,長距離
DRV007,ドライバー07,東京営業所,2024-01-18,08:30,22:34,1.3,547.4,長距離
DRV016,ドライバー16,東京営業所,2024-01-10,08:00,17:24,0.5,82.8,市内配送
DRV008,ドライバー08,大阪営業所,2024-01-24,09:30,17:46,0.7,48.5,市内配送
DRV004,ドライバー04,東京営業所,2024-01-22,08:45,21:02,1.5,121.7,中距離
DRV008,ドライバー08,大阪営業所,2024-01-20,10:30,23:09,0.9,112.6,中距離
DRV027,ドライバー27,名古屋営業所,2024-01-23,08:45,18:13,0.8,107.4,中距離
DRV016,ドライバー16,東京営業所,2024-01-08,10:15,23:13,1.4,584.8,長距離
DRV023,ドライバー23,大阪営業所,2024-01-14,10:15,20:54,0.8,88.4,市内配送
DRV020,ドライバー20,大阪営業所,2024-01-31,08:00,19:45,0.9,188.9,中距離
DRV008,ドライバー08,大阪営業所,2024-01-04,08:30,16:40,0.6,97.8,市内配送
DRV028,ドライバー28,東京営業所,2024-01-03,07:00,15:09,0.7,99.2,市内配送
DRV026,ドライバー26,大阪営業所,2024-01-03,10:15,21:35,1.4,146.6,中距離
DRV025,ドライバー25,東京営業所,2024-01-29,10:00,22:41,2.0,596.3,長距離
DRV018,ドライバー18,名古屋営業所,2024-01-06,06:00,15:31,1.0,257.7,中距離
DRV019,ドライバー19,東京営業所,2024-01-06,08:00,17:30,1.1,122.7,中距離
DRV003,ドライバー03,名古屋営業所,2024-01-25,08:00,18:48,0.9,223.0,中距離
DRV024,ドライバー24,名古屋営業所,2024-01-28,10:30,19:52,1.0,34.3,市内配送
DRV016,ドライバー16,東京営業所,2024-01-14,06:45,16:53,0.7,92.9,市内配送
DRV011,ドライバー11,大阪営業所,2024-01-03,07:30,17:22,0.8,79.9,市内配送
DRV013,ドライバー13,東京営業所,2024-01-17,08:45,18:15,0.7,85.5,市内配送
DRV004,ドライバー04,東京営業所,2024-01-21,10:15,19:32,0.9,59.0,市内配送
DRV027,ドライバー27,名古屋営業所,2024-01-14,06:30,17:12,1.2,174.9,中距離
DRV005,ドライバー05,大阪営業所,2024-01-16,06:00,16:29,0.5,36.8,市内配送
DRV024,ドライバー24,名古屋営業所,2024-01-05,10:00,21:20,1.2,165.9,中距離
DRV004,ドライバー04,東京営業所,2024-01-28,09:00,21:52,1.2,170.3,中距離
DRV019,ドライバー19,東京営業所,2024-01-05,09:15,21:38,1.0,211.3,中距離
DRV004,ドライバー04,東京営業所,2024-01-19,07:45,18:17,1.0,87.3,市内配送
DRV020,ドライバー20,大阪営業所,2024-01-18,06:30,14:35,0.6,83.4,市内配送
DRV030,ドライバー30,名古屋営業所,2024-01-01,07:15,18:30,1.1,128.4,中距離
DRV021,ドライバー21,名古屋営業所,2024-01-03,10:15,19:22,0.7,41.0,市内配送
DRV010,ドライバー10,東京営業所,2024-01-25,10:00,20:39,0.6,82.8,市内配送
DRV002,ドライバー02,大阪営業所,2024-01-09,09:45,19:12,0.7,49.1,市内配送
DRV025,ドライバー25,東京営業所,2024-01-12,09:00,19:07,1.3,197.3,中距離
DRV022,ドライバー22,東京営業所,2024-01-08,09:00,18:01,1.0,142.2,中距離
DRV005,ドライバー05,大阪営業所,2024-01-10,08:00,16:01,0.9,42.3,市内配送
DRV013,ドライバー13,東京営業所,2024-01-08,10:30,19:47,1.4,108.5,中距離
DRV001,ドライバー01,東京営業所,2024-01-03,08:45,20:02,1.3,183.5,中距離
DRV004,ドライバー04,東京営業所,2024-01-31,08:15,20:27,1.2,266.4,中距離
DRV030,ドライバー30,名古屋営業所,2024-01-14,06:15,16:59,1.1,115.7,中距離
DRV028,ドライバー28,東京営業所,2024-01-11,07:30,19:36,0.8,226.6,中距離
DRV017,ドライバー17,大阪営業所,2024-01-29,08:30,20:24,1.4,263.0,中距離
DRV008,ドライバー08,大阪営業所,2024-01-09,07:15,20:45,1.8,496.7,長距離
DRV006,ドライバー06,名古屋営業所,2024-01-21,09:45,20:00,0.9,61.4,市内配送
DRV030,ドライバー30,名古屋営業所,2024-01-21,10:30,21:05,0.8,40.6,市内配送
DRV003,ドライバー03,名古屋営業所,2024-01-21,08:30,19:51,1.0,114.8,中距離
DRV015,ドライバー15,名古屋営業所,2024-01-02,08:30,17:48,1.4,271.1,中距離
DRV020,ドライバー20,大阪営業所,2024-01-13,09:00,19:47,1.4,230.4,中距離
DRV011,ドライバー11,大阪営業所,2024-01-17,07:00,16:21,0.9,88.6,市内配送
DRV023,ドライバー23,大阪営業所,2024-01-21,07:00,19:37,1.4,431.8,長距離
DRV017,ドライバー17,大阪営業所,2024-01-12,08:30,17:39,0.9,77.5,市内配送
DRV002,ドライバー02,大阪営業所,2024-01-21,08:00,16:59,0.8,57.1,市内配送
DRV009,ドライバー09,名古屋営業所,2024-01-22,10:15,19:15,0.8,39.9,市内配送
DRV012,ドライバー12,名古屋営業所,2024-01-21,09:15,20:37,1.5,161.9,中距離
DRV013,ドライバー13,東京営業所,2024-01-11,07:00,16:56,0.7,55.3,市内配送
DRV012,ドライバー12,名古屋営業所,2024-01-31,07:30,20:17,1.1,145.3,中距離
DRV005,ドライバー05,大阪営業所,2024-01-10,06:00,19:39,1.9,485.4,長距離
DRV020,ドライバー20,大阪営業所,2024-01-06,07:15,19:08,0.8,172.9,中距離
DRV024,ドライバー24,名古屋営業所,2024-01-15,10:30,00:22,1.8,370.2,長距離
DRV008,ドライバー08,大阪営業所,2024-01-26,09:15,19:43,1.5,296.9,中距離
DRV015,ドライバー15,名古屋営業所,2024-01-25,09:45,20:38,0.9,86.1,市内配送
DRV005,ドライバー05,大阪営業所,2024-01-02,09:30,19:09,0.6,89.2,市内配送
DRV028,ドライバー28,東京営業所,2024-01-03,07:30,20:37,1.5,549.3,長距離
DRV003,ドライバー03,名古屋営業所,2024-01-08,09:30,20:17,0.7,57.8,市内配送
