staff_id,name,store_id,employment_type,hourly_wage,work_date,clock_in,clock_out,break_minutes,work_hours,late_night,base_wage,late_night_premium,total_wage,overtime_hours,source_file
R001-S02,スタッフR00102,R001_新宿店,アルバイト,1158,2024-01-03,18:00,00:36,45,6.6,True,7642.8,1910.7,9553.5,0.0,shift_R001_202401.csv
R001-S03,スタッフR00103,R001_新宿店,アルバイト,1137,2024-01-03,19:30,23:42,0,4.2,True,4775.4,1193.85,5969.25,0.0,shift_R001_202401.csv
R001-S04,スタッフR00104,R001_新宿店,アルバイト,1121,2024-01-03,16:00,19:30,0,3.5,False,3923.5,0.0,3923.5,0.0,shift_R001_202401.csv
R001-S05,スタッフR00105,R001_新宿店,パート,1139,2024-01-03,15:30,20:36,0,5.1,False,5808.9,0.0,5808.9,0.0,shift_R001_202401.csv
R001-S06,スタッフR00106,R001_新宿店,アルバイト,1105,2024-01-03,10:00,13:18,0,3.3,False,3646.5,0.0,3646.5,0.0,shift_R001_202401.csv
R001-S07,スタッフR00107,R001_新宿店,パート,1295,2024-01-03,11:00,15:00,0,4.0,False,5180.0,0.0,5180.0,0.0,shift_R001_202401.csv
R001-S08,スタッフR00108,R001_新宿店,アルバイト,1136,2024-01-03,12:30,16:24,0,3.9,False,4430.4,0.0,4430.4,0.0,shift_R001_202401.csv
R001-S09,スタッフR00109,R001_新宿店,アルバイト,1076,2024-01-03,11:30,18:30,45,7.0,False,7532.0,0.0,7532.0,0.0,shift_R001_202401.csv
R001-S10,スタッフR00110,R001_新宿店,アルバイト,1073,2024-01-03,11:00,17:18,45,6.3,False,6759.9,0.0,6759.9,0.0,shift_R001_202401.csv
R001-S11,スタッフR00111,R001_新宿店,アルバイト,1147,2024-01-03,10:00,17:36,45,7.6,False,8717.2,0.0,8717.2,0.0,shift_R001_202401.csv
R001-S12,スタッフR00112,R001_新宿店,アルバイト,1074,2024-01-03,12:30,17:54,0,5.4,False,5799.6,0.0,5799.6,0.0,shift_R001_202401.csv
R001-S13,スタッフR00113,R001_新宿店,アルバイト,1141,2024-01-03,16:00,19:48,0,3.8,False,4335.8,0.0,4335.8,0.0,shift_R001_202401.csv
R001-S15,スタッフR00115,R001_新宿店,アルバイト,1117,2024-01-03,17:30,22:36,0,5.1,True,5696.7,1424.18,7120.88,0.0,shift_R001_202401.csv
R001-S16,スタッフR00116,R001_新宿店,アルバイト,1061,2024-01-03,18:30,22:18,0,3.8,True,4031.8,1007.95,5039.75,0.0,shift_R001_202401.csv
R001-S17,スタッフR00117,R001_新宿店,アルバイト,1167,2024-01-03,10:00,16:42,45,6.7,False,7818.9,0.0,7818.9,0.0,shift_R001_202401.csv
R001-S19,スタッフR00119,R001_新宿店,パート,1131,2024-01-03,18:00,21:18,0,3.3,False,3732.3,0.0,3732.3,0.0,shift_R001_202401.csv
R001-S20,スタッフR00120,R001_新宿店,アルバイト,1146,2024-01-03,12:00,18:00,45,6.0,False,6876.0,0.0,6876.0,0.0,shift_R001_202401.csv
R001-S01,スタッフR00101,R001_新宿店,アルバイト,1090,2024-01-04,13:30,17:06,0,3.6,False,3924.0,0.0,3924.0,0.0,shift_R001_202401.csv
R001-S02,スタッフR00102,R001_新宿店,アルバイト,1158,2024-01-04,13:00,19:06,45,6.1,False,7063.8,0.0,7063.8,0.0,shift_R001_202401.csv
R001-S03,スタッフR00103,R001_新宿店,アルバイト,1137,2024-01-04,19:30,03:12,45,7.7,True,8754.9,2188.72,10943.62,0.0,shift_R001_202401.csv
R001-S04,スタッフR00104,R001_新宿店,アルバイト,1121,2024-01-04,21:30,01:42,0,4.2,True,4708.2,1177.05,5885.25,0.0,shift_R001_202401.csv
R001-S05,スタッフR00105,R001_新宿店,パート,1139,2024-01-04,20:30,01:48,0,5.3,True,6036.7,1509.18,7545.88,0.0,shift_R001_202401.csv
R001-S06,スタッフR00106,R001_新宿店,アルバイト,1105,2024-01-04,11:00,16:18,0,5.3,False,5856.5,0.0,5856.5,0.0,shift_R001_202401.csv
R001-S07,スタッフR00107,R001_新宿店,パート,1295,2024-01-04,11:00,16:42,0,5.7,False,7381.5,0.0,7381.5,0.0,shift_R001_202401.csv
R001-S08,スタッフR00108,R001_新宿店,アルバイト,1136,2024-01-04,12:30,19:54,45,7.4,False,8406.4,0.0,8406.4,0.0,shift_R001_202401.csv
R001-S09,スタッフR00109,R001_新宿店,アルバイト,1076,2024-01-04,15:30,19:18,0,3.8,False,4088.8,0.0,4088.8,0.0,shift_R001_202401.csv
R001-S10,スタッフR00110,R001_新宿店,アルバイト,1073,2024-01-04,21:30,03:36,45,6.1,True,6545.3,1636.32,8181.62,0.0,shift_R001_202401.csv
R001-S11,スタッフR00111,R001_新宿店,アルバイト,1147,2024-01-04,20:00,02:18,45,6.3,True,7226.1,1806.52,9032.62,0.0,shift_R001_202401.csv
R001-S12,スタッフR00112,R001_新宿店,アルバイト,1074,2024-01-04,20:00,03:42,45,7.7,True,8269.8,2067.45,10337.25,0.0,shift_R001_202401.csv
R001-S16,スタッフR00116,R001_新宿店,アルバイト,1061,2024-01-04,14:30,20:30,45,6.0,False,6366.0,0.0,6366.0,0.0,shift_R001_202401.csv
R001-S17,スタッフR00117,R001_新宿店,アルバイト,1167,2024-01-04,13:30,19:00,0,5.5,False,6418.5,0.0,6418.5,0.0,shift_R001_202401.csv
R001-S18,スタッフR00118,R001_新宿店,アルバイト,1187,2024-01-04,10:00,16:12,45,6.2,False,7359.4,0.0,7359.4,0.0,shift_R001_202401.csv
R001-S19,スタッフR00119,R001_新宿店,パート,1131,2024-01-04,10:00,14:42,0,4.7,False,5315.7,0.0,5315.7,0.0,shift_R001_202401.csv
R001-S01,スタッフR00101,R001_新宿店,アルバイト,1090,2024-01-05,12:30,18:18,0,5.8,False,6322.0,0.0,6322.0,0.0,shift_R001_202401.csv
R001-S02,スタッフR00102,R001_新宿店,アルバイト,1158,2024-01-05,10:00,13:24,0,3.4,False,3937.2,0.0,3937.2,0.0,shift_R001_202401.csv
R001-S03,スタッフR00103,R001_新宿店,アルバイト,1137,2024-01-05,12:00,19:12,45,7.2,False,8186.4,0.0,8186.4,0.0,shift_R001_202401.csv
R001-S04,スタッフR00104,R001_新宿店,アルバイト,1121,2024-01-05,12:30,16:06,0,3.6,False,4035.6,0.0,4035.6,0.0,shift_R001_202401.csv
R001-S05,スタッフR00105,R001_新宿店,パート,1139,2024-01-05,10:30,14:35,0,4.1,False,4669.9,0.0,4669.9,0.0,shift_R001_202401.csv
R001-S06,スタッフR00106,R001_新宿店,アルバイト,1105,2024-01-05,11:30,18:24,45,6.9,False,7624.5,0.0,7624.5,0.0,shift_R001_202401.csv
R001-S07,スタッフR00107,R001_新宿店,パート,1295,2024-01-05,16:00,23:36,45,7.6,True,9842.0,2460.5,12302.5,0.0,shift_R001_202401.csv
R001-S08,スタッフR00108,R001_新宿店,アルバイト,1136,2024-01-05,12:00,19:24,45,7.4,False,8406.4,0.0,8406.4,0.0,shift_R001_202401.csv
R001-S10,スタッフR00110,R001_新宿店,アルバイト,1073,2024-01-05,15:30,22:30,45,7.0,True,7511.0,1877.75,9388.75,0.0,shift_R001_202401.csv
R001-S11,スタッフR00111,R001_新宿店,アルバイト,1147,2024-01-05,13:30,17:18,0,3.8,False,4358.6,0.0,4358.6,0.0,shift_R001_202401.csv
R001-S12,スタッフR00112,R001_新宿店,アルバイト,1074,2024-01-05,16:00,23:18,45,7.3,True,7840.2,1960.05,9800.25,0.0,shift_R001_202401.csv
R001-S13,スタッフR00113,R001_新宿店,アルバイト,1141,2024-01-05,17:30,22:00,0,4.5,True,5134.5,1283.62,6418.12,0.0,shift_R001_202401.csv
R001-S14,スタッフR00114,R001_新宿店,アルバイト,1138,2024-01-05,13:00,16:06,0,3.1,False,3527.8,0.0,3527.8,0.0,shift_R001_202401.csv
R001-S16,スタッフR00116,R001_新宿店,アルバイト,1061,2024-01-05,11:30,16:18,0,4.8,False,5092.8,0.0,5092.8,0.0,shift_R001_202401.csv
R001-S17,スタッフR00117,R001_新宿店,アルバイト,1167,2024-01-05,20:30,04:12,45,7.7,True,8985.9,2246.48,11232.38,0.0,shift_R001_202401.csv
R001-S19,スタッフR00119,R001_新宿店,パート,1131,2024-01-05,12:30,15:42,0,3.2,False,3619.2,0.0,3619.2,0.0,shift_R001_202401.csv
R001-S20,スタッフR00120,R001_新宿店,アルバイト,1146,2024-01-05,15:30,20:42,0,5.2,False,5959.2,0.0,5959.2,0.0,shift_R001_202401.csv
R001-S01,スタッフR00101,R001_新宿店,アルバイト,1090,2024-01-06,11:30,19:00,45,7.5,False,8175.0,0.0,8175.0,0.0,shift_R001_202401.csv
R001-S04,スタッフR00104,R001_新宿店,アルバイト,1121,2024-01-06,18:00,22:48,0,4.8,True,5380.8,1345.2,6726.0,0.0,shift_R001_202401.csv
R001-S06,スタッフR00106,R001_新宿店,アルバイト,1105,2024-01-06,15:30,21:48,45,6.3,False,6961.5,0.0,6961.5,0.0,shift_R001_202401.csv
R001-S08,スタッフR00108,R001_新宿店,アルバイト,1136,2024-01-06,18:30,00:48,45,6.3,True,7156.8,1789.2,8946.0,0.0,shift_R001_202401.csv
R001-S09,スタッフR00109,R001_新宿店,アルバイト,1076,2024-01-06,21:30,03:18,0,5.8,True,6240.8,1560.2,7801.0,0.0,shift_R001_202401.csv
R001-S11,スタッフR00111,R001_新宿店,アルバイト,1147,2024-01-06,16:00,22:06,45,6.1,True,6996.7,1749.18,8745.88,0.0,shift_R001_202401.csv
R001-S12,スタッフR00112,R001_新宿店,アルバイト,1074,2024-01-06,18:00,22:30,0,4.5,True,4833.0,1208.25,6041.25,0.0,shift_R001_202401.csv
R001-S13,スタッフR00113,R001_新宿店,アルバイト,1141,2024-01-06,19:30,00:48,0,5.3,True,6047.3,1511.82,7559.12,0.0,shift_R001_202401.csv
R001-S14,スタッフR00114,R001_新宿店,アルバイト,1138,2024-01-06,13:30,20:30,45,7.0,False,7966.0,0.0,7966.0,0.0,shift_R001_202401.csv
R001-S15,スタッフR00115,R001_新宿店,アルバイト,1117,2024-01-06,21:00,03:18,45,6.3,True,7037.1,1759.28,8796.38,0.0,shift_R001_202401.csv
R001-S16,スタッフR00116,R001_新宿店,アルバイト,1061,2024-01-06,20:30,00:00,0,3.5,True,3713.5,928.38,4641.88,0.0,shift_R001_202401.csv
R001-S17,スタッフR00117,R001_新宿店,アルバイト,1167,2024-01-06,13:30,17:35,0,4.1,False,4784.7,0.0,4784.7,0.0,shift_R001_202401.csv
R001-S20,スタッフR00120,R001_新宿店,アルバイト,1146,2024-01-06,17:00,22:18,0,5.3,True,6073.8,1518.45,7592.25,0.0,shift_R001_202401.csv
R001-S01,スタッフR00101,R001_新宿店,アルバイト,1090,2024-01-07,19:00,01:36,45,6.6,True,7194.0,1798.5,8992.5,0.0,shift_R001_202401.csv
R001-S02,スタッフR00102,R001_新宿店,アルバイト,1158,2024-01-07,16:00,19:42,0,3.7,False,4284.6,0.0,4284.6,0.0,shift_R001_202401.csv
R001-S03,スタッフR00103,R001_新宿店,アルバイト,1137,2024-01-07,11:30,15:35,0,4.1,False,4661.7,0.0,4661.7,0.0,shift_R001_202401.csv
R001-S04,スタッフR00104,R001_新宿店,アルバイト,1121,2024-01-07,21:30,00:48,0,3.3,True,3699.3,924.82,4624.12,0.0,shift_R001_202401.csv
R001-S05,スタッフR00105,R001_新宿店,パート,1139,2024-01-07,11:30,15:12,0,3.7,False,4214.3,0.0,4214.3,0.0,shift_R001_202401.csv
R001-S06,スタッフR00106,R001_新宿店,アルバイト,1105,2024-01-07,18:30,02:18,45,7.8,True,8619.0,2154.75,10773.75,0.0,shift_R001_202401.csv
R001-S07,スタッフR00107,R001_新宿店,パート,1295,2024-01-07,19:30,02:42,45,7.2,True,9324.0,2331.0,11655.0,0.0,shift_R001_202401.csv
R001-S08,スタッフR00108,R001_新宿店,アルバイト,1136,2024-01-07,12:30,17:48,0,5.3,False,6020.8,0.0,6020.8,0.0,shift_R001_202401.csv
R001-S09,スタッフR00109,R001_新宿店,アルバイト,1076,2024-01-07,20:30,03:18,45,6.8,True,7316.8,1829.2,9146.0,0.0,shift_R001_202401.csv
R001-S10,スタッフR00110,R001_新宿店,アルバイト,1073,2024-01-07,20:00,00:24,0,4.4,True,4721.2,1180.3,5901.5,0.0,shift_R001_202401.csv
R001-S12,スタッフR00112,R001_新宿店,アルバイト,1074,2024-01-07,14:30,19:06,0,4.6,False,4940.4,0.0,4940.4,0.0,shift_R001_202401.csv
R001-S13,スタッフR00113,R001_新宿店,アルバイト,1141,2024-01-07,12:00,16:12,0,4.2,False,4792.2,0.0,4792.2,0.0,shift_R001_202401.csv
R001-S14,スタッフR00114,R001_新宿店,アルバイト,1138,2024-01-07,21:00,00:18,0,3.3,True,3755.4,938.85,4694.25,0.0,shift_R001_202401.csv
R001-S15,スタッフR00115,R001_新宿店,アルバイト,1117,2024-01-07,18:30,23:36,0,5.1,True,5696.7,1424.18,7120.88,0.0,shift_R001_202401.csv
R001-S16,スタッフR00116,R001_新宿店,アルバイト,1061,2024-01-07,16:30,00:00,45,7.5,True,7957.5,1989.38,9946.88,0.0,shift_R001_202401.csv
R001-S17,スタッフR00117,R001_新宿店,アルバイト,1167,2024-01-07,21:00,04:18,45,7.3,True,8519.1,2129.78,10648.88,0.0,shift_R001_202401.csv
R001-S18,スタッフR00118,R001_新宿店,アルバイト,1187,2024-01-07,16:30,19:30,0,3.0,False,3561.0,0.0,3561.0,0.0,shift_R001_202401.csv
R001-S19,スタッフR00119,R001_新宿店,パート,1131,2024-01-07,16:30,22:12,0,5.7,True,6446.7,1611.68,8058.38,0.0,shift_R001_202401.csv
R001-S20,スタッフR00120,R001_新宿店,アルバイト,1146,2024-01-07,19:00,00:24,0,5.4,True,6188.4,1547.1,7735.5,0.0,shift_R001_202401.csv
R001-S01,スタッフR00101,R001_新宿店,アルバイト,1090,2024-01-08,17:00,21:54,0,4.9,False,5341.0,0.0,5341.0,0.0,shift_R001_202401.csv
R001-S02,スタッフR00102,R001_新宿店,アルバイト,1158,2024-01-08,16:00,23:12,45,7.2,True,8337.6,2084.4,10422.0,0.0,shift_R001_202401.csv
R001-S03,スタッフR00103,R001_新宿店,アルバイト,1137,2024-01-08,19:00,02:30,45,7.5,True,8527.5,2131.88,10659.38,0.0,shift_R001_202401.csv
R001-S04,スタッフR00104,R001_新宿店,アルバイト,1121,2024-01-08,20:00,23:24,0,3.4,True,3811.4,952.85,4764.25,0.0,shift_R001_202401.csv
R001-S05,スタッフR00105,R001_新宿店,パート,1139,2024-01-08,17:00,20:18,0,3.3,False,3758.7,0.0,3758.7,0.0,shift_R001_202401.csv
R001-S06,スタッフR00106,R001_新宿店,アルバイト,1105,2024-01-08,13:30,18:06,0,4.6,False,5083.0,0.0,5083.0,0.0,shift_R001_202401.csv
R001-S07,スタッフR00107,R001_新宿店,パート,1295,2024-01-08,16:30,23:18,45,6.8,True,8806.0,2201.5,11007.5,0.0,shift_R001_202401.csv
R001-S08,スタッフR00108,R001_新宿店,アルバイト,1136,2024-01-08,14:00,19:24,0,5.4,False,6134.4,0.0,6134.4,0.0,shift_R001_202401.csv
R001-S09,スタッフR00109,R001_新宿店,アルバイト,1076,2024-01-08,10:30,14:35,0,4.1,False,4411.6,0.0,4411.6,0.0,shift_R001_202401.csv
R001-S11,スタッフR00111,R001_新宿店,アルバイト,1147,2024-01-08,10:00,17:42,45,7.7,False,8831.9,0.0,8831.9,0.0,shift_R001_202401.csv
R001-S16,スタッフR00116,R001_新宿店,アルバイト,1061,2024-01-08,19:00,00:18,0,5.3,True,5623.3,1405.82,7029.12,0.0,shift_R001_202401.csv
R001-S17,スタッフR00117,R001_新宿店,アルバイト,1167,2024-01-08,15:00,21:00,45,6.0,False,7002.0,0.0,7002.0,0.0,shift_R001_202401.csv
R001-S18,スタッフR00118,R001_新宿店,アルバイト,1187,2024-01-08,21:00,03:54,45,6.9,True,8190.3,2047.58,10237.88,0.0,shift_R001_202401.csv
R001-S19,スタッフR00119,R001_新宿店,パート,1131,2024-01-08,14:00,19:54,0,5.9,False,6672.9,0.0,6672.9,0.0,shift_R001_202401.csv
R001-S20,スタッフR00120,R001_新宿店,アルバイト,1146,2024-01-08,19:30,00:30,0,5.0,True,5730.0,1432.5,7162.5,0.0,shift_R001_202401.csv
R001-S01,スタッフR00101,R001_新宿店,アルバイト,1090,2024-01-09,11:00,14:30,0,3.5,False,3815.0,0.0,3815.0,0.0,shift_R001_202401.csv
R001-S02,スタッフR00102,R001_新宿店,アルバイト,1158,2024-01-09,20:00,03:00,45,7.0,True,8106.0,2026.5,10132.5,0.0,shift_R001_202401.csv
R001-S03,スタッフR00103,R001_新宿店,アルバイト,1137,2024-01-09,10:30,16:12,0,5.7,False,6480.9,0.0,6480.9,0.0,shift_R001_202401.csv
R001-S04,スタッフR00104,R001_新宿店,アルバイト,1121,2024-01-09,11:30,14:36,0,3.1,False,3475.1,0.0,3475.1,0.0,shift_R001_202401.csv
R001-S05,スタッフR00105,R001_新宿店,パート,1139,2024-01-09,17:00,22:12,0,5.2,True,5922.8,1480.7,7403.5,0.0,shift_R001_202401.csv
R001-S06,スタッフR00106,R001_新宿店,アルバイト,1105,2024-01-09,17:00,22:12,0,5.2,True,5746.0,1436.5,7182.5,0.0,shift_R001_202401.csv
R001-S07,スタッフR00107,R001_新宿店,パート,1295,2024-01-09,20:30,02:36,45,6.1,True,7899.5,1974.88,9874.38,0.0,shift_R001_202401.csv
R001-S08,スタッフR00108,R001_新宿店,アルバイト,1136,2024-01-09,17:30,22:42,0,5.2,True,5907.2,1476.8,7384.0,0.0,shift_R001_202401.csv
R001-S09,スタッフR00109,R001_新宿店,アルバイト,1076,2024-01-09,14:30,21:48,45,7.3,False,7854.8,0.0,7854.8,0.0,shift_R001_202401.csv
R001-S10,スタッフR00110,R001_新宿店,アルバイト,1073,2024-01-09,11:30,18:54,45,7.4,False,7940.2,0.0,7940.2,0.0,shift_R001_202401.csv
R001-S11,スタッフR00111,R001_新宿店,アルバイト,1147,2024-01-09,17:30,22:12,0,4.7,True,5390.9,1347.72,6738.62,0.0,shift_R001_202401.csv
R001-S12,スタッフR00112,R001_新宿店,アルバイト,1074,2024-01-09,15:00,20:24,0,5.4,False,5799.6,0.0,5799.6,0.0,shift_R001_202401.csv
R001-S13,スタッフR00113,R001_新宿店,アルバイト,1141,2024-01-09,14:30,18:54,0,4.4,False,5020.4,0.0,5020.4,0.0,shift_R001_202401.csv
R001-S14,スタッフR00114,R001_新宿店,アルバイト,1138,2024-01-09,14:00,19:36,0,5.6,False,6372.8,0.0,6372.8,0.0,shift_R001_202401.csv
R001-S16,スタッフR00116,R001_新宿店,アルバイト,1061,2024-01-09,16:30,22:18,0,5.8,True,6153.8,1538.45,7692.25,0.0,shift_R001_202401.csv
R001-S17,スタッフR00117,R001_新宿店,アルバイト,1167,2024-01-09,17:30,22:42,0,5.2,True,6068.4,1517.1,7585.5,0.0,shift_R001_202401.csv
R001-S19,スタッフR00119,R001_新宿店,パート,1131,2024-01-09,16:00,20:30,0,4.5,False,5089.5,0.0,5089.5,0.0,shift_R001_202401.csv
R001-S20,スタッフR00120,R001_新宿店,アルバイト,1146,2024-01-09,17:30,22:36,0,5.1,True,5844.6,1461.15,7305.75,0.0,shift_R001_202401.csv
R001-S01,スタッフR00101,R001_新宿店,アルバイト,1090,2024-01-10,15:30,22:00,45,6.5,True,7085.0,1771.25,8856.25,0.0,shift_R001_202401.csv
R001-S02,スタッフR00102,R001_新宿店,アルバイト,1158,2024-01-10,14:00,17:36,0,3.6,False,4168.8,0.0,4168.8,0.0,shift_R001_202401.csv
R001-S05,スタッフR00105,R001_新宿店,パート,1139,2024-01-10,21:00,01:00,0,4.0,True,4556.0,1139.0,5695.0,0.0,shift_R001_202401.csv
R001-S06,スタッフR00106,R001_新宿店,アルバイト,1105,2024-01-10,14:30,22:24,45,7.9,True,8729.5,2182.38,10911.88,0.0,shift_R001_202401.csv
R001-S07,スタッフR00107,R001_新宿店,パート,1295,2024-01-10,14:00,18:48,0,4.8,False,6216.0,0.0,6216.0,0.0,shift_R001_202401.csv
R001-S08,スタッフR00108,R001_新宿店,アルバイト,1136,2024-01-10,21:00,01:24,0,4.4,True,4998.4,1249.6,6248.0,0.0,shift_R001_202401.csv
R001-S09,スタッフR00109,R001_新宿店,アルバイト,1076,2024-01-10,18:30,01:00,45,6.5,True,6994.0,1748.5,8742.5,0.0,shift_R001_202401.csv
R001-S11,スタッフR00111,R001_新宿店,アルバイト,1147,2024-01-10,17:00,00:24,45,7.4,True,8487.8,2121.95,10609.75,0.0,shift_R001_202401.csv
R001-S12,スタッフR00112,R001_新宿店,アルバイト,1074,2024-01-10,17:30,22:42,0,5.2,True,5584.8,1396.2,6981.0,0.0,shift_R001_202401.csv
R001-S15,スタッフR00115,R001_新宿店,アルバイト,1117,2024-01-10,17:00,00:06,45,7.1,True,7930.7,1982.68,9913.38,0.0,shift_R001_202401.csv
R001-S16,スタッフR00116,R001_新宿店,アルバイト,1061,2024-01-10,11:00,14:48,0,3.8,False,4031.8,0.0,4031.8,0.0,shift_R001_202401.csv
R001-S17,スタッフR00117,R001_新宿店,アルバイト,1167,2024-01-10,14:00,22:00,60,8.0,True,9336.0,2334.0,11670.0,0.0,shift_R001_202401.csv
R001-S19,スタッフR00119,R001_新宿店,パート,1131,2024-01-10,19:00,01:54,45,6.9,True,7803.9,1950.98,9754.88,0.0,shift_R001_202401.csv
R001-S20,スタッフR00120,R001_新宿店,アルバイト,1146,2024-01-10,17:30,00:48,45,7.3,True,8365.8,2091.45,10457.25,0.0,shift_R001_202401.csv
R001-S01,スタッフR00101,R001_新宿店,アルバイト,1090,2024-01-11,14:00,20:00,45,6.0,False,6540.0,0.0,6540.0,0.0,shift_R001_202401.csv
