勤務日,社員番号,社員名,所属部門,出勤,退勤,休憩時間,有給
2024/01/03,EMP-487,社員007,人事部,09:06,17:33,60,0
2024/01/04,EMP-487,社員007,人事部,09:21,18:43,60,0
2024/01/05,EMP-487,社員007,人事部,09:09,18:58,60,0
2024/01/08,EMP-487,社員007,人事部,08:37,19:36,60,0
2024/01/09,EMP-487,社員007,人事部,08:43,19:40,60,0
2024/01/10,EMP-487,社員007,人事部,09:16,18:54,60,0
2024/01/11,EMP-487,社員007,人事部,08:18,17:30,60,0
2024/01/12,EMP-487,社員007,人事部,08:43,18:41,60,0
2024/01/15,EMP-487,社員007,人事部,09:13,18:23,60,0
2024/01/16,EMP-487,社員007,人事部,08:30,17:55,60,0
2024/01/17,EMP-487,社員007,人事部,08:30,17:32,60,0
2024/01/18,EMP-487,社員007,人事部,09:13,17:55,60,0
2024/01/19,EMP-487,社員007,人事部,08:21,18:36,60,0
2024/01/22,EMP-487,社員007,人事部,08:20,19:11,60,0
2024/01/23,EMP-487,社員007,人事部,09:00,17:30,60,1
2024/01/24,EMP-487,社員007,人事部,08:36,17:31,60,0
2024/01/25,EMP-487,社員007,人事部,08:39,18:40,60,0
2024/01/26,EMP-487,社員007,人事部,09:12,17:02,60,0
2024/01/29,EMP-487,社員007,人事部,08:57,18:48,60,0
2024/01/30,EMP-487,社員007,人事部,08:40,19:15,60,0
2024/01/31,EMP-487,社員007,人事部,09:04,17:24,60,0
2024/01/01,EMP-579,社員008,人事部,08:52,17:19,60,0
2024/01/02,EMP-579,社員008,人事部,09:13,19:08,60,0
2024/01/03,EMP-579,社員008,人事部,09:24,17:10,60,0
2024/01/04,EMP-579,社員008,人事部,09:00,17:14,60,0
2024/01/05,EMP-579,社員008,人事部,08:37,19:10,60,0
2024/01/08,EMP-579,社員008,人事部,08:24,19:16,60,0
2024/01/09,EMP-579,社員008,人事部,08:42,17:41,60,0
2024/01/10,EMP-579,社員008,人事部,08:26,18:24,60,0
2024/01/11,EMP-579,社員008,人事部,08:13,19:43,60,0
2024/01/12,EMP-579,社員008,人事部,08:42,19:17,60,0
2024/01/15,EMP-579,社員008,人事部,09:26,17:32,60,0
2024/01/16,EMP-579,社員008,人事部,08:50,17:31,60,0
2024/01/17,EMP-579,社員008,人事部,09:26,19:12,60,0
2024/01/18,EMP-579,社員008,人事部,08:02,19:31,60,0
2024/01/19,EMP-579,社員008,人事部,09:00,17:30,60,1
2024/01/22,EMP-579,社員008,人事部,08:53,19:42,60,0
2024/01/23,EMP-579,社員008,人事部,08:46,19:06,60,0
2024/01/24,EMP-579,社員008,人事部,09:09,18:29,60,0
2024/01/25,EMP-579,社員008,人事部,08:54,18:23,60,0
2024/01/26,EMP-579,社員008,人事部,08:06,17:00,60,0
2024/01/29,EMP-579,社員008,人事部,08:21,18:57,60,0
2024/01/30,EMP-579,社員008,人事部,08:23,18:11,60,0
2024/01/31,EMP-579,社員008,人事部,09:08,18:44,60,0
2024/01/01,EMP-957,社員009,人事部,08:07,17:44,60,0
2024/01/02,EMP-957,社員009,人事部,08:06,18:58,60,0
2024/01/03,EMP-957,社員009,人事部,09:05,19:24,60,0
2024/01/04,EMP-957,社員009,人事部,08:30,18:07,60,0
2024/01/05,EMP-957,社員009,人事部,09:00,17:30,60,1
2024/01/08,EMP-957,社員009,人事部,08:42,18:33,60,0
2024/01/09,EMP-957,社員009,人事部,08:27,19:46,60,0
2024/01/10,EMP-957,社員009,人事部,09:04,19:57,60,0
2024/01/11,EMP-957,社員009,人事部,08:32,18:54,60,0
2024/01/12,EMP-957,社員009,人事部,09:10,17:21,60,0
2024/01/15,EMP-957,社員009,人事部,08:35,19:24,60,0
2024/01/16,EMP-957,社員009,人事部,09:14,19:28,60,0
2024/01/17,EMP-957,社員009,人事部,09:03,18:47,60,0
2024/01/18,EMP-957,社員009,人事部,09:00,17:30,60,1
2024/01/19,EMP-957,社員009,人事部,09:28,19:35,60,0
2024/01/22,EMP-957,社員009,人事部,09:11,17:52,60,0
2024/01/23,EMP-957,社員009,人事部,09:22,19:23,60,0
2024/01/24,EMP-957,社員009,人事部,08:00,18:22,60,0
2024/01/25,EMP-957,社員009,人事部,09:17,19:23,60,0
2024/01/26,EMP-957,社員009,人事部,08:31,17:52,60,0
2024/01/29,EMP-957,社員009,人事部,08:16,19:12,60,0
2024/01/30,EMP-957,社員009,人事部,09:06,18:52,60,0
2024/01/31,EMP-957,社員009,人事部,08:48,18:02,60,0
2024/01/01,EMP-748,社員010,人事部,08:49,18:29,60,0
2024/01/02,EMP-748,社員010,人事部,08:31,17:33,60,0
2024/01/03,EMP-748,社員010,人事部,09:26,19:30,60,0
2024/01/04,EMP-748,社員010,人事部,08:44,19:11,60,0
2024/01/05,EMP-748,社員010,人事部,09:21,19:38,60,0
2024/01/08,EMP-748,社員010,人事部,09:13,19:58,60,0
2024/01/09,EMP-748,社員010,人事部,09:30,18:18,60,0
2024/01/10,EMP-748,社員010,人事部,09:19,19:56,60,0
2024/01/11,EMP-748,社員010,人事部,09:22,19:59,60,0
2024/01/12,EMP-748,社員010,人事部,08:39,19:18,60,0
2024/01/15,EMP-748,社員010,人事部,08:45,19:11,60,0
2024/01/16,EMP-748,社員010,人事部,09:22,17:48,60,0
2024/01/17,EMP-748,社員010,人事部,09:21,19:57,60,0
2024/01/18,EMP-748,社員010,人事部,09:25,17:33,60,0
2024/01/19,EMP-748,社員010,人事部,08:42,17:12,60,0
2024/01/22,EMP-748,社員010,人事部,09:21,18:09,60,0
2024/01/23,EMP-748,社員010,人事部,09:06,19:02,60,0
2024/01/24,EMP-748,社員010,人事部,08:47,19:35,60,0
2024/01/25,EMP-748,社員010,人事部,09:22,19:03,60,0
2024/01/26,EMP-748,社員010,人事部,09:00,17:30,60,1
2024/01/29,EMP-748,社員010,人事部,09:26,17:58,60,0
2024/01/30,EMP-748,社員010,人事部,09:24,19:34,60,0
2024/01/31,EMP-748,社員010,人事部,08:18,18:11,60,0
2024/01/01,EMP-383,社員011,人事部,08:47,19:07,60,0
2024/01/02,EMP-383,社員011,人事部,09:04,17:37,60,0
2024/01/04,EMP-383,社員011,人事部,08:02,17:59,60,0
2024/01/05,EMP-383,社員011,人事部,09:15,19:35,60,0
2024/01/08,EMP-383,社員011,人事部,09:16,17:11,60,0
2024/01/09,EMP-383,社員011,人事部,08:26,19:34,60,0
2024/01/10,EMP-383,社員011,人事部,08:42,18:21,60,0
2024/01/11,EMP-383,社員011,人事部,09:17,19:00,60,0
2024/01/12,EMP-383,社員011,人事部,08:57,19:39,60,0
2024/01/15,EMP-383,社員011,人事部,08:43,18:24,60,0
2024/01/16,EMP-383,社員011,人事部,09:08,19:46,60,0
2024/01/17,EMP-383,社員011,人事部,09:16,19:28,60,0
2024/01/18,EMP-383,社員011,人事部,08:20,19:05,60,0
2024/01/19,EMP-383,社員011,人事部,08:40,17:13,60,0
2024/01/22,EMP-383,社員011,人事部,09:26,17:13,60,0
2024/01/23,EMP-383,社員011,人事部,09:20,17:47,60,0
2024/01/24,EMP-383,社員011,人事部,09:01,17:04,60,0
2024/01/25,EMP-383,社員011,人事部,08:36,17:58,60,0
2024/01/26,EMP-383,社員011,人事部,09:13,18:01,60,0
2024/01/29,EMP-383,社員011,人事部,08:41,19:39,60,0
2024/01/30,EMP-383,社員011,人事部,08:44,17:22,60,0
2024/01/31,EMP-383,社員011,人事部,09:19,17:18,60,0
2024/01/01,EMP-300,社員012,人事部,09:26,19:01,60,0
2024/01/02,EMP-300,社員012,人事部,08:47,18:50,60,0
2024/01/03,EMP-300,社員012,人事部,08:19,19:56,60,0
2024/01/04,EMP-300,社員012,人事部,09:30,17:35,60,0
2024/01/05,EMP-300,社員012,人事部,08:00,19:38,60,0
2024/01/08,EMP-300,社員012,人事部,08:19,17:47,60,0
2024/01/09,EMP-300,社員012,人事部,08:26,19:54,60,0
2024/01/10,EMP-300,社員012,人事部,08:39,18:12,60,0
2024/01/11,EMP-300,社員012,人事部,08:54,19:29,60,0
2024/01/12,EMP-300,社員012,人事部,08:16,17:12,60,0
2024/01/15,EMP-300,社員012,人事部,09:11,17:42,60,0
2024/01/16,EMP-300,社員012,人事部,08:57,17:20,60,0
2024/01/17,EMP-300,社員012,人事部,09:22,19:09,60,0
2024/01/18,EMP-300,社員012,人事部,09:00,17:30,60,1
2024/01/19,EMP-300,社員012,人事部,08:45,19:41,60,0
2024/01/22,EMP-300,社員012,人事部,08:43,19:21,60,0
2024/01/23,EMP-300,社員012,人事部,09:24,18:31,60,0
2024/01/24,EMP-300,社員012,人事部,08:53,18:54,60,0
2024/01/25,EMP-300,社員012,人事部,08:16,19:56,60,0
2024/01/26,EMP-300,社員012,人事部,09:00,17:30,60,1
2024/01/29,EMP-300,社員012,人事部,09:24,19:13,60,0
2024/01/30,EMP-300,社員012,人事部,09:20,17:23,60,0
2024/01/31,EMP-300,社員012,人事部,09:04,18:32,60,0
